,"tactile_static_data.left.std.clip(ret/60.0, -1, 1).max()",robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1525872896.03,1.0,0.294409491613,0.375143878993,0.0588000106812,0.0475999999046,0.272799987793,0.0107999999821,0.00890000000596,0.00532000012696,0.0318403274237,0.0243456375258,-0.0010908610589,0.00278644450315,-0.00181936034622,0.0021549122386,-0.000776185635354,0.00324940844906
1525872896.13,1.0,0.290304189788,0.384598302688,0.0346000099182,0.0315999984741,0.273199996948,0.0108599999547,0.00894000008702,0.00610000014305,0.0321516451544,0.02692317861,0.000311049540363,0.00717940580526,-2.32582912242e-05,0.00581977740134,-0.00239116644284,0.00861433284417
1525872896.23,1.0,0.309957224511,0.372530862798,0.0652000141144,0.0509999990463,0.283000030518,0.0106200000644,0.0086400000751,0.00562000013888,0.0371357438534,0.0296273510095,0.00218455081894,0.0100272083511,0.00251272866648,0.00698242441431,-0.00633665258358,0.00955992704466
1525872896.33,1.0,0.312016463111,0.364787499869,0.07640001297,0.045,0.284600067139,0.0104399999976,0.00844000011683,0.00544000014663,0.0404730830656,0.028090382077,0.00271648933279,0.00728606911328,0.00142008414869,0.00357911005589,-0.00667704260055,0.0127148604135
1525872896.43,1.0,0.299697958418,0.351256473339,0.0648000049591,0.077199999094,0.267200088501,0.0101999999583,0.00820000007749,0.00486000008881,0.0457360006177,0.0270036680112,0.000403916024551,0.00369576669871,-0.00260675231191,-0.00501843650321,-0.00275170656296,0.0158623889733
1525872896.53,1.0,0.310658444278,0.338696317032,0.0239999961853,0.108799997568,0.263400039673,0.00978000000119,0.00808000013232,0.00448000006378,0.0507738276229,0.026526092584,-0.00383468790814,-1.92112375338e-05,-0.00580437786112,-0.00585880475884,0.00554314857728,0.0136089077395
1525872896.63,1.0,0.262834803677,0.342490331801,0.00759999275208,0.128999997377,0.177800064087,0.0101399999857,0.00824000000954,0.00402000002563,0.0406307018175,0.0212139938981,-0.00158063781113,-0.00332551437965,-0.00470735875336,-0.00472672571558,0.00234774175406,0.00327905832051
1525872896.73,1.0,0.247240299573,0.344775664217,-0.0128000068665,0.12819999814,0.162600097656,0.00991999998689,0.00824000000954,0.00479999996722,0.0337756412245,0.0211309477772,-0.00349421752244,-0.00692188499778,-0.0053071734272,-0.00733677038823,0.00649170714842,0.0056674932713
1525872896.83,1.0,0.209799680012,0.347818062787,-0.0308000087738,0.13319999814,0.122400054932,0.00996000006795,0.00827999994159,0.00499999992549,0.0309525443677,0.0219773634262,-0.00466554375928,-0.00233268258983,-0.00568479837304,-0.00140434136308,0.00823344979728,0.0065165480909
1525872896.93,1.0,0.202079475521,0.346692407491,-0.037200012207,0.133799997568,0.113199996948,0.0099200001359,0.00813999995589,0.00517999991775,0.0446118635035,0.0280118770556,-0.00537204179116,0.00980196981685,-0.00507640392595,0.0106907297994,0.00794183567961,0.0108521377846
1525872897.03,1.0,0.179446155012,0.343598403607,-0.0200000095367,0.107599998713,0.107399978638,0.00970000013709,0.00783999994397,0.00567999988794,0.0449669852828,0.0271608263422,0.000144529995084,0.00761418695299,-0.000676890455966,0.0103407352754,-0.000680264319736,0.00397496694925
1525872897.13,1.0,0.199822556951,0.317547863724,0.000799989700317,0.113600000143,0.160799942017,0.00894000008702,0.00715999998152,0.00541999988258,0.0522594495873,0.0368746529786,0.000346140389885,0.0102372106184,0.00144373290308,0.00568647853845,-0.00380470946046,0.0194159604299
1525872897.23,1.0,0.204495130871,0.307280020749,0.00239998817444,0.116999996901,0.163999938965,0.00884000003338,0.00684000007808,0.00503999993205,0.0681589556491,0.0525428743016,-0.00585747170229,0.00788937725237,0.00203729012978,0.00206584379079,0.0134973059317,0.0192369055321
1525872897.33,1.0,0.311586778384,0.258989925167,0.0189999961853,0.171799992323,0.256800003052,0.00641999997199,0.00502000007778,0.00479999996722,0.0924609502957,0.0808383465838,-0.0167980509675,0.0064584469666,0.00384320209731,-0.00939726851802,0.0407021059609,0.0327428194779
1525872897.43,1.0,0.441331285314,0.243693160772,0.0489999961853,0.222999995947,0.374200057983,0.00333999983966,0.00264000002295,0.00479999996722,0.0876995228929,0.0897056973992,-0.0184028824139,0.00126452164142,0.0117198975278,-0.00405680973119,0.0474723184667,0.0144526464962
1525872897.53,1.0,0.566186109725,0.300930740188,0.0255999946594,0.241799997091,0.499200057983,-0.000140000209212,-0.00251999985427,0.00472000002861,0.0986238964735,0.0930706287934,-0.0251887265925,0.00542716505493,0.0183373732397,0.00493681493196,0.0581343384805,0.018314485176
1525872897.63,1.0,0.722196513375,0.383414617298,0.029000005722,0.262799996138,0.655800094604,-0.00390000008047,-0.00855999980122,0.00548000000417,0.130192324233,0.0867083659395,-0.0242113733066,-0.00139547167906,0.0329204584307,0.000553528387773,0.0577143774105,0.00683378291443
1525872897.73,1.0,0.922809824587,0.517186259373,0.0320000076294,0.30680000186,0.858400039673,-0.00979999996722,-0.0164599997178,0.00592000007629,0.15733635087,0.0788609599604,-0.0179017866856,-0.000671156584765,0.0497954444244,-0.00533824121056,0.0367725414327,0.00195065234618
1525872897.83,1.0,1.04881753407,0.727045667816,0.00279999732971,0.281800006628,0.999199981689,-0.0120000000298,-0.0249799995124,0.00712000012398,0.210742007725,0.0718915735004,-0.0119308400521,-0.00704591305626,0.0797493445961,-0.0220967729954,0.0126306475074,-0.0108922390271
1525872897.93,1.0,1.10606592582,0.845678881195,-0.0268000030518,0.229800003767,1.07659996033,-0.0115599999577,-0.0301799994707,0.00844000011683,0.309775119777,0.101904276284,0.00446177874208,-0.0117578586379,0.119440370213,-0.0406905075631,-0.0430969562151,-0.00912070107308
1525872898.03,1.0,1.0428935415,0.784375281016,0.0715999984741,0.260000003576,0.941599960327,-0.0110199999064,-0.0266999995708,0.00874000012875,0.451611995502,0.19412338628,0.0464611885875,0.00403357145781,0.162855596242,-0.0321250318524,-0.150224537676,-0.00620735849537
1525872898.13,1.0,0.873769295807,0.754403474641,0.0891999816895,0.230600003004,0.759799957275,-0.00733999989927,-0.0178999996185,0.00780000016093,0.505624146024,0.234233138047,0.0591078275686,0.0212652673032,0.179392379384,-0.0190087911009,-0.193859167211,-0.00327212888627
1525872898.23,0.99417757845,0.689300113324,0.625592267718,0.0915999794006,0.20939999938,0.550799942017,-0.00280000001192,-0.00899999976158,0.00758000008762,0.525933716423,0.25594648444,0.0666084649088,0.0385912830554,0.181577475019,0.0132482027064,-0.216182373376,-0.001990241279
1525872898.33,0.953213568544,0.460092527655,0.470324389364,0.119999990463,0.184599999189,0.315599975586,0.00172000005841,0.00175999999046,0.00678000003099,0.478383779086,0.25235339726,0.0759039355366,0.0525196804177,0.16043015557,0.0395285729701,-0.23710462223,0.0100479558432
1525872898.43,0.870390538026,0.315436749607,0.3739304119,0.132799987793,0.244600003958,0.087799987793,0.00270000005141,0.0105799999833,0.00526000007987,0.385547777633,0.218570752381,0.0685441699299,0.0557525068561,0.122940437129,0.0470737022303,-0.204259492631,0.0218886604972
1525872898.53,0.785216888237,0.255166477309,0.396722216891,0.0639999961853,0.213400005102,0.0813999938965,0.00630000004545,0.0131399999559,0.00410000003874,0.232142186616,0.121613473658,0.0327821614895,0.0359277120124,0.0732540878374,0.028706363268,-0.105670577875,0.0168094654754
1525872898.63,0.718278260537,0.265290505068,0.35839228377,0.0406000041962,0.242400006056,0.0775999450684,0.0063399999775,0.0113799999654,0.00396000005305,0.160869245059,0.0884132257893,0.0146349683652,0.0168791439118,0.0333717868314,0.0187165323473,-0.0458628429117,0.00965254621943
1525872898.73,0.658182552023,0.248313611921,0.359770403838,0.053200006485,0.225600007772,0.0618000030518,0.00723999993876,0.0112799999118,0.00344000004232,0.113688223539,0.0656446513902,0.00980335124724,-0.00496602280905,0.0130393509292,-0.00686586909779,-0.0228950720437,0.00122859422037
