,tactile_static_data.left.std.ret/250.0,tactile_static_data.right.std.ret/250.0,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1527169674.87,0.08756832274251736,0.05857759410020734,0.19976941143771876,0.14629408218928125,0.015800013542175317,-0.16729999303817755,0.015199966430663781,0.0010400000307708979,0.005300000011920929,-0.00015999998897314066,0.02590507888843947,0.015900559583695354,-0.0002604388880022039,0.002851215907278208,0.003513313058175434,0.000545924248524007,-0.0016038218422269896,0.009370684790632897
1527169674.97,0.08899697352502384,0.06142212611030137,0.19434519622127985,0.15743252805337662,-0.0015999841690063268,-0.1386999964714051,-0.008600006103515908,0.0016000000573694708,0.0055799999833107,-0.0008199999853968621,0.031102689566613415,0.01857447727605985,-0.00044443989415100197,0.0009190813578781598,0.0019629560468216144,0.0016577698540734503,-0.003253101322025796,0.005070845526188107
1527169675.07,0.09197564747208566,0.056487938432979085,0.22521478181009658,0.17005212859326832,-0.004999985694885233,-0.16509999513626106,-0.031600036621094035,0.0021800000593066218,0.005980000048875809,-0.0007200000062584877,0.045744925949496446,0.032484714926670585,-0.00638255045697032,-0.006463439189122333,-0.00227444241121742,-0.006552892054220426,0.012051131615871813,-0.002496471611623697
1527169675.17,0.09168061493192796,0.058838538190705614,0.18547270798907212,0.17377722589106062,0.058400015830993676,-0.08170000076293951,-0.04520004272460966,0.0022200000286102294,0.005980000048875809,-0.0012999999895691873,0.04786550956676399,0.03794834310326859,-0.005525715848420218,-0.0048699705205280065,-0.0033502149292490013,-0.0010277082697650363,0.00787919659407317,-0.0033133555948756076
1527169675.27,0.09266321175102007,0.05655279461543955,0.21320021018403884,0.17344891585337194,0.04920001506805422,-0.11529999732971197,-0.07480003356933623,0.002360000014305115,0.006040000021457673,-0.00099999999627471,0.06416910500029503,0.03972936351034758,-0.005156656960148382,-0.01694838708528889,-0.011345257692215446,-0.00719360865961332,0.0046217959593733045,-0.01655450953986498
1527169675.37,0.08901075270554863,0.05635159767055284,0.19622204133263196,0.16077145474655197,0.04580001354217532,-0.0908999967575074,-0.06459999084472685,0.00196000000461936,0.00568000003695488,-0.0017999999783933165,0.0923320231688152,0.06204566650308087,0.003080053658070167,-0.015124032662928588,-0.019925770120420724,0.0002585637022513576,-0.0173953239297185,-0.018779115441777315
1527169675.47,0.0852926848782582,0.05435474163737596,0.18752206881357286,0.16166845154411036,0.0770000219345093,-0.0742999982833863,-0.034000015258789346,0.001519999969750643,0.00568000003695488,-0.0021999999694526195,0.12091433278120234,0.08570052522502053,0.012626192284921782,-0.015220238347456908,-0.03070193063060856,-0.017749142689187564,-0.04038316642677383,-0.011161291913226973
1527169675.57,0.08139347853912479,0.057199742897944585,0.17328412979990823,0.15082606758978212,0.08040002346038821,-0.06849999904632574,0.014400024414062216,0.0014199999533593655,0.00527999997138977,-0.001899999952875078,0.13994614853160003,0.08805788863515779,0.018661963466949698,-0.005439248678868843,-0.04273471383982574,-0.0005732523247846209,-0.053938507594709875,-0.021447463453646197
1527169675.67,0.08505749954069504,0.05644858085685487,0.1728207629868536,0.1527611078978673,0.07020001888275149,-0.10089999675750738,0.035200042724609096,0.0012399999611079693,0.005479999929666519,-0.0017199999606236818,0.18509908729477412,0.09681335051403157,0.012223708525701336,-0.006856693053809071,-0.060908628331749065,-0.006178066739831336,-0.03406115372254023,-0.022217322792939406
1527169675.77,0.08501400894052447,0.05979352411023719,0.16939764696551202,0.14928966948802344,0.0854000234603882,-0.057499995231628485,0.09400001525878879,0.0008199999667704105,0.004899999909102917,-0.002399999941699207,0.21751866663973787,0.09580776561719767,0.008255686769970638,0.006410371092119979,-0.07767707172078463,0.0012585423386841242,-0.021834784124865964,-0.023180669775471285
1527169675.87,0.08136262234235872,0.05918874003034445,0.17869316322012993,0.1479108203157982,0.11720002651214602,-0.02829999446868902,0.09239997863769504,0.0009599999734200537,0.004859999902546406,-0.0023999999416992068,0.24711494406934054,0.08811608287478774,-0.0058867216355058625,0.011155952045963707,-0.09231928746257088,-0.008691341095631383,0.008581501166502166,-0.008877167174916415
1527169675.97,0.08297353564153004,0.060331498911028895,0.169535350988817,0.14515658106511156,0.08940001964569094,-0.044299988746643114,0.08279998779296849,0.001279999988619238,0.004879999943077564,-0.001439999951981008,0.22866949385857527,0.10541883103941349,-0.007337638360993444,0.01492460727561705,-0.08359977445064866,-0.00963227441146662,0.00470025266218245,0.020925666820180225
1527169676.07,0.08614863073173465,0.05908588675544661,0.1753410902905393,0.14533524007453508,0.11180001735687259,-0.016899986267089898,0.048799972534179406,0.0009400000073947013,0.004939999990165233,-0.0018399999476969241,0.20292144377272184,0.09815571707611033,-0.005599223062250648,0.01536259237703816,-0.06663422053612024,-0.02455110347491974,0.0011711916599224746,0.04762134138933577
1527169676.17,0.08011762597338122,0.058243651258279405,0.17906575254164733,0.14007386320811116,0.1174000120162964,0.012300014495849557,0.05899993896484347,0.0013000000291503964,0.004640000052750111,-0.0016799999587237837,0.18791162716250026,0.10040043691960221,0.009247105062335179,0.02424651098368349,-0.04242215524586906,-0.021981932912756623,-0.031896406998916396,0.052891616814394436
1527169676.27,0.07899008090351337,0.052605423604795545,0.1685825203429138,0.13323847859169968,0.11200000286102299,-0.013499984741210993,0.04219993591308566,0.0013800000329501929,0.004740000069141389,-0.0012199999950826168,0.16692202714918802,0.12182242419667644,0.02597938554989688,0.027645441232092914,-0.021419770162022254,-0.0248552314826129,-0.06633027343970609,0.07127345079975916
1527169676.37,0.08362940767182256,0.05060434788920064,0.14176141231366113,0.14416656169708814,0.08940000057220462,-0.013899984359741267,0.027399978637695027,0.0015400000382214786,0.00512000009417534,-0.0014399999938905239,0.13851300052340526,0.12034376729912134,0.03786728761400693,0.03288865565295264,0.0033162864512009957,-0.014550096501029834,-0.08565691032660654,0.05357428837333355
1527169676.47,0.08686827686401181,0.050887883042784555,0.2422683055734325,0.3327666294573412,0.11980000972747805,0.01850001335144038,-0.07459999084472685,-0.006980000091716648,0.007880000025033952,-0.0017200000025331974,0.22478255028143984,0.15385911187276657,0.06475330990868411,0.036788552850501775,-0.01823349211160371,-0.005491992525254461,-0.1333094095009409,0.047637372355255156
1527169676.57,0.085418227727459,0.05184365520533182,0.3928481367911685,0.62339328603195,0.13980000972747805,0.08070001602172847,-0.22519996643066437,-0.018340000240132215,0.012919999733567238,-0.0029599999822676184,0.3153078867420947,0.17378736307120593,0.051867401752689085,0.04622538231525117,-0.057575858776614176,0.013917411944173862,-0.10799725610652841,0.052738804721475435
1527169676.67,0.0846353146515281,0.05197701063268503,0.6551513114395396,1.1520831764071349,0.1940000104904175,0.14510002136230465,-0.53379997253418,-0.036760000130161646,0.025120000243186953,-0.004660000037401915,0.40413410444444664,0.2632688601720875,-0.0037448107003833844,0.026108574027392452,-0.0756721473337566,-0.038295789753664614,-0.00020457623739736364,0.0798817542051927
1527169676.77,0.08453972735418222,0.05514753337045322,0.8967378530265276,1.6302213920991981,0.25100001811981204,0.2523000240325928,-0.7983999633789065,-0.05279999969527126,0.03634000055491925,-0.005940000098198652,0.38421353195021984,0.24631426015624197,-0.020519697831967953,0.012383804376647965,-0.07498211899797749,-0.03866801739917101,0.03866821799806881,0.060060009318682245
1527169676.87,0.0895092243223625,0.05811736704163557,1.2993497364486204,2.443653727981101,0.3064000082015992,0.36770001411437986,-1.2047999954223636,-0.07975999891757965,0.055540001690387725,-0.0077600001357495795,0.4028671844767432,0.27556677415191405,-0.008783825673050638,-0.0014755993639073988,-0.06857363603567232,-0.03021130733824805,0.016118539729274503,0.042315939775712526
1527169676.97,0.08844711031103285,0.05579114450813392,1.2261711183713564,2.2831355892929466,0.31159999370574953,0.31590001583099364,-1.1124000167846684,-0.07431999891996385,0.051660001724958424,-0.0076200001337565475,0.3271286636247692,0.21135627584860064,-0.03661277838384547,-0.011689552553431857,-0.035114557009063255,-0.02343265592305512,0.08014418798153186,0.004540240744260675
1527169677.07,0.08627734918858951,0.05456791843393184,1.0916675665914841,2.063742000323814,0.23059998989105224,0.23750001430511475,-0.9000000381469729,-0.06711999863386155,0.04522000201046467,-0.005300000126007945,0.2342082631666583,0.18566233206675864,-0.02370705659636853,-0.028111100505568098,0.0067833270220060944,-0.04304870891025345,0.05324128698434143,-0.01325768853070624
1527169677.17,0.08845917819774471,0.053721290091477324,0.8305094857736417,1.5598881956773791,0.18319999217987062,0.1497000074386596,-0.610399971008301,-0.048759998753666885,0.029920001551508906,-0.003300000068265946,0.13016371229485996,0.09250338559546721,0.02748114914101525,-0.018240199869203805,0.024978869915125768,0.003360473010496378,-0.050562536421518756,-0.042993110371480125
1527169677.27,0.08887054316659394,0.050306507012301084,0.5972024807629863,1.1057548242750297,0.14719998836517334,0.05349999904632563,-0.3557999801635745,-0.03129999913275242,0.018980001211166386,-0.0018999999877996746,0.11674961213371196,0.08085895512073103,0.03159260756966232,-0.012040188461000658,0.027663302001017357,0.003900748933502325,-0.06055041723133241,-0.03547009489799527
1527169677.37,0.0842171029199403,0.04635888649220789,0.22959403599479655,0.29320964801926913,0.12259999752044679,-0.0764999914169312,0.06480003356933567,-0.004599999915808439,-0.0002399999648332598,0.0008600000548176467,0.08449403220874678,0.04909026512242299,0.01769338747030138,-0.0050099181142319055,0.02395156714527483,-0.007343722927780994,-0.03754518943428093,-0.012680975624503748
1527169677.47,0.08692963128785906,0.047834909732239424,0.22038773088285016,0.26079161079230784,0.10679999828338624,-0.07949999332427984,0.08320007324218721,-0.002679999824613333,0.0005200000107288359,0.00034000004641711703,0.060112773593372366,0.03741395329895391,0.011244721310025713,0.0017583312202319435,0.017524990431369673,-0.005730317878353925,-0.027780023254501664,0.001654150807484101
1527169677.57,0.13082694330220557,0.046995033474411155,0.19400221196284226,0.2362808171269709,0.15019999980926513,-0.08730000019073492,0.035800094604491906,-0.0016400001011788847,0.0015799999982118605,-0.0008799999672919514,0.06536992846929865,0.041833174791773786,0.014422146398814478,0.00702853607240122,0.016686517245639625,0.003109579621308152,-0.032402246848073246,0.007303975836042137
1527169677.67,0.1785493059270815,0.04603073212333846,0.1677075728504317,0.24737134057964946,0.11940000057220461,-0.08289999485015877,0.03700004577636691,-0.0043600001744925985,0.0048199999332427974,-0.0015999999642372135,0.06051349414115415,0.03680044418955068,0.013416277366059853,0.008774831371308363,0.01528110562922063,0.010913499183288305,-0.02411472766460326,0.001052669350924706
1527169677.77,0.21566179134377703,0.0522951751364171,0.15788944461014592,0.2438155950576985,0.07240000247955325,-0.08969999790191657,0.05260009765624972,-0.00724000019952655,0.004379999972879887,-0.002019999995827675,0.0666363480594925,0.040473655257233815,0.014863384284899046,0.006050892007351722,0.016787974464475188,0.008996203932054903,-0.029088567077172934,-0.00022777417180168923
1527169677.87,0.2522681657609652,0.05464609813375685,0.16107287795036362,0.26758509705159905,0.03539999485015871,-0.12389999866485601,0.06260009765624971,-0.00902000017464161,0.0041599999740719795,-0.003100000023841858,0.059141144359167196,0.03653845250404762,0.013770388163983632,0.0014907306761632955,0.015259549819197736,0.005749166589429214,-0.025110226033342283,-0.004313525120315461
1527169677.97,0.28527590598913466,0.054515065465398145,0.18182648404026974,0.32588882108746525,-0.014000000953674301,-0.07689999580383305,0.08720008850097628,-0.011220000237226488,0.005120000056922437,-0.0036800000444054603,0.06833079281177822,0.03935527574531647,0.01407054047827568,-0.004007592642803774,0.016836514573473776,0.0008866687502510941,-0.026774740434092677,-0.009817573134615724
1527169678.07,0.27282106986940935,0.05521984124627456,0.19312198659600133,0.3446027863131963,-0.020399994850158677,-0.04109999656677251,0.12640007019042943,-0.011239999979734423,0.006840000115334989,-0.0032800000533461573,0.06805364065534229,0.03685800650174998,0.012796766213270546,-0.006755708190844334,0.019208995749826013,-0.004466672723237494,-0.025831523224070594,-0.011587422525839967
1527169678.17,0.2395307248979445,0.05587393286505974,0.21098464035993045,0.38812358383604856,-0.014399991035461407,-0.00890000343322759,0.14280006408691379,-0.01267999991774559,0.007980000115931035,-0.0029200000502169134,0.07884017133265273,0.046432201483743954,0.017812201962218117,-0.008359402078973358,0.018957306939070055,-0.00038841167264217456,-0.03584895703595966,-0.012459715571657416
1527169678.27,0.20780380520740738,0.05175670346869729,0.2278703533114188,0.44620307557241534,0.02100000858306887,-0.022300000190734914,0.1452000427246091,-0.014900000095367433,0.00922000013291836,-0.0021800000313669443,0.08289186301891804,0.04565119402161459,0.02067264211930593,-0.008484283549059656,0.018794756009000754,0.0016805199210621138,-0.035879765093598096,-0.013060225568089945
1527169678.37,0.16691073542676688,0.05315033366983933,0.18387733085232288,0.4720688288305372,0.020200009346008328,0.03230000019073481,0.11160003662109348,-0.01542000010609627,0.010000000149011612,-0.0029200000781565904,0.0756612734970589,0.041105837089592784,0.01590646646884545,-0.00678574877248919,0.01605608537417552,0.0005977090735499037,-0.028261621993300737,-0.0063720602400322455
