,tactile_static_data.left.std.ret/250.0,tactile_static_data.right.std.ret/250.0,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1528887198.83,0.7281240741052,0.6982389840759272,0.30808474089910853,0.06371457156247672,-0.04059999465942394,-0.04859999686479571,0.28960006713867187,0.0006000000215135516,0.002060000002384186,0.00038000000175088646,0.11413525749015445,0.0482054329722679,0.005999208676605394,-0.04305385183233246,0.004739773002510065,0.008703163026283083,-0.001757174690685895,-0.01692406595896707
1528887198.93,0.7253233843256097,0.7037377436789573,0.32169528614917564,0.060290223869480276,-0.012800006866455188,-0.02919999629259112,0.3076000213623047,0.0002400000183843077,0.0015199999883770943,0.0006999999890103936,0.22972623168937711,0.08014070588088193,0.0091809167483459,-0.08919057343641479,0.0045128392408415405,0.006709200065004566,-0.0005427050646792148,-0.050456724921389806
1528887199.03,0.7240900758973803,0.7011868986808508,0.31367605542041066,0.07131798018363798,0.007799987792968643,-0.03919999569654467,0.3019999694824219,-0.0005199999571777879,0.0006599999964237213,0.0009999999823048712,0.37597981478622405,0.12207709565260173,0.012296088765950067,-0.14781218076075545,0.0021697519807605888,-0.004078483024509847,0.00028810907905217425,-0.09104729181868697
1528887199.13,0.7262598079169269,0.7019354261532604,0.3314573132008378,0.07406966903596299,0.025599975585937393,-0.0365999957919121,0.31699996948242193,-0.0008999999635852874,0.0002599999867379665,0.0013199999602511526,0.5544993111649867,0.18362899717029302,0.010929363291175378,-0.22070948291574355,-0.0033647311546548607,-0.011036091864348193,0.013539614581247285,-0.16765238328162202
1528887199.23,0.7284336373880305,0.7023688812694043,0.30921603172157697,0.08210463185455462,0.02079998016357411,-0.035999996364116695,0.2939999389648438,-0.0015199999511241913,0.0001599999889731407,0.001359999948181212,0.757897368893109,0.2418293281124862,0.013363829689119288,-0.3026750482240814,-0.006364790095200501,-0.05341175705721621,0.01396980840694022,-0.23337456775683646
1528887199.33,0.731889091993134,0.7010972564961503,0.33909792282013074,0.07626030751916199,0.014799976348876843,-0.055599996745586425,0.3249999237060547,-0.0020399999618530276,-0.00028000000398606064,0.0014799999538809062,0.8661616001419505,0.296584041166695,0.008159161042768162,-0.34579129375384016,-0.009089963438629965,-0.06577769048426603,0.020162452433968872,-0.28652763288294586
1528887199.43,0.7292153070425403,0.6978309491894163,0.3214838237345791,0.14431888763200224,-0.014200019836425886,-0.07419999733567241,0.3025999450683594,0.0008200000599026681,0.0013799999328330162,0.0014199999812990428,0.8966994386148521,0.32762665826008197,-0.000269691093476054,-0.357645299525697,-0.014511470191825956,-0.046984743404702635,0.03459237734813793,-0.31474927912547124
1528887199.53,0.7256950682869296,0.6985348577375499,0.32103218249439197,0.1364502322988834,-0.02080001831054698,-0.08879999712109568,0.2939999389648438,0.001740000043064356,0.0021599999489262706,0.0019199999887496233,0.9044011649251187,0.35117326330839016,-0.007429040376853507,-0.3605861778966124,-0.017860210537763745,-0.015567076690527298,0.04281266376635909,-0.33608678986100754
1528887199.63,0.7216877323088313,0.6969782445022804,0.30275488962543357,0.17140739695447432,-0.051400012969970814,-0.084399997740984,0.2791999053955078,0.00046000009402632743,0.0005199999595060947,0.0012000000197440385,0.9092538718897109,0.33296372004401664,-0.020560638794833705,-0.3616905929284815,-0.018289745959553898,-0.016671221412850115,0.052195270261068405,-0.3147720797986917
1528887199.73,0.7214161137623161,0.694945082829376,0.30803674706126005,0.19412268269995928,-0.05300001144409191,-0.08159999802708628,0.2849999237060547,-0.000319999884814024,-0.0004400000302121041,0.0008000000286847353,0.8967705228086981,0.3119219836298248,-0.039202636115053355,-0.3551706282580882,-0.02381653878162407,-0.022018067161345432,0.06843330615378515,-0.2848148209840424
1528887199.83,0.7139489321854048,0.6947334696121328,0.3473407719390532,0.22500561410674474,-0.024000015258789167,-0.09919999811798337,0.3219998931884766,0.0008400001190602781,0.0007599999383091931,0.0009000000171363355,0.8813783772667712,0.32680157646526825,-0.04978698011710064,-0.34732835150703756,-0.02475170955504854,0.0069428879874181846,0.06789109074178212,-0.300101669910473
1528887199.93,0.7129810960531507,0.6962542288184612,0.3806340432889107,0.18387455669929595,-0.003600006103515732,-0.10359999824315312,0.3569998931884766,-0.001399999912828207,-0.0023399999365210536,0.0007200000062584877,0.8889751924474164,0.3257970450936586,-0.06786984244034507,-0.346479599134534,-0.02262650612051454,-0.013632550381292751,0.0869084598552966,-0.2920102991478381
