,tactile_static_data.left.std.ret/250.0,tactile_static_data.right.std.ret/250.0,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1528887965.63,0.6784192200621905,0.6911199218929367,0.4920533031579194,0.14349091506112052,0.19310000419616705,-0.2444999976269901,0.36029991149902374,0.0009999999962747098,0.0036200000345706944,0.0030799999833106997,0.28837859134141297,0.12410811169064417,0.005021603860824295,-0.11425074799952681,0.0009572087340196048,0.0051908806678635,-0.0015548153329494438,-0.11251453024476245
1528887965.73,0.6763068740651789,0.6915050693476884,0.49895841896837256,0.13650089090945428,0.20630000114440922,-0.24029999924823647,0.36209991455078155,0.0010400000028312206,0.0034400000423192977,0.0028199999779462814,0.3672081943613538,0.14897668848092793,0.003634213150221959,-0.14587404049130803,-0.0009618042893279959,-0.010051510952161502,0.008108157982018263,-0.139209938847245
1528887965.83,0.6749876004657159,0.6930503850207531,0.5134383702688684,0.1533723382171055,0.21030000686645514,-0.2495000000111759,0.37289993286132844,0.0019800000078976157,0.0027800000458955768,0.0032800000160932543,0.4421943929497326,0.17536538160449458,0.007938698864473197,-0.17614660871709303,-0.0009592525590834188,-0.024226652923722516,0.0069704601374724635,-0.16778836539999256
1528887965.93,0.6766756440964876,0.6901927871083017,0.501381833577417,0.16411536102027902,0.17170000076293948,-0.2704999966733158,0.3644999694824222,0.0034599999897181994,0.002360000042244792,0.003520000018179417,0.5072589133819524,0.20712191015559334,0.0039614998454018755,-0.20204909628414838,-0.006156527265581795,-0.026616649346924873,0.024656592607897435,-0.19738100957332616
1528887966.03,0.6741441055690949,0.6862195012205916,0.4476657880306419,0.1585422496673321,0.14929999351501466,-0.22949999881908295,0.3252999877929691,0.0035799999907612803,0.0025800000410526993,0.003200000040233135,0.5658805700945452,0.2437300014926377,-0.0034330508557364253,-0.22581977329376482,-0.01200525874640914,-0.010408521531688484,0.044667948185817534,-0.2371302574126944
1528887966.13,0.6754267072878093,0.6848375344213935,0.46609194064856635,0.13439119612876277,0.14509999275207522,-0.23349999738857152,0.347299957275391,0.0021200000122189523,0.00098000000230968,0.0033600000292062764,0.6516464027795399,0.28339607320207694,-0.00044999487886503283,-0.26000463592280776,-0.013804210974361693,-0.0063693112948742464,0.03754715162021266,-0.2765106449028176
1528887966.23,0.678059246914904,0.6829006611762609,0.4597832749320938,0.18222011069309305,0.09609999656677248,-0.2082999975793064,0.3826999664306644,-0.0007399999350309375,-0.0017200000304728748,0.0034800000488758092,0.7636737224206526,0.30561546933435646,-0.0005701078832466601,-0.3047045708365222,-0.017590587333474187,-0.03706458138569728,0.03663283983705529,-0.2863720379217925
1528887966.33,0.6780980810134054,0.6823384782724272,0.46093121658860325,0.16910298943564092,0.1363000011444092,-0.17389999700710176,0.38569999694824253,-0.0013799999654293062,-0.0025200000125914813,0.0025000000093132256,0.8638107507543958,0.3650919590462461,-0.0095008942166318,-0.34436079057465324,-0.020410946934645454,-0.024056982148045414,0.03881047056042204,-0.34648566103306117
1528887966.43,0.6754837034746367,0.6853586016906195,0.39667168862484253,0.16889223293881853,0.1385000038146973,-0.11169999910518529,0.33449996948242217,-0.003479999974370003,-0.00284000001847744,0.002339999983087182,0.9433777694103609,0.37580353470051353,-0.022089864485990242,-0.3750537599659905,-0.019251519188000017,-0.02757820126891208,0.032912421498786204,-0.35820607344111544
1528887966.53,0.6785545255405461,0.6902912745268149,0.4089264768781218,0.1660248929491264,0.18930001258850102,-0.11389999879524113,0.32289993286132845,-0.003379999985918403,-0.0031400000117719176,0.002379999989643693,1.0107399001284834,0.4222086751340349,-0.048940675280320894,-0.3965054513360436,-0.020360712740164426,-0.035198101985656774,0.05870474122594539,-0.399814329652845
