,"tactile_static_data.left.std.clip(ret/60.0, -10, 10)","tactile_static_data.right.std.clip(ret/60.0, -10, 10)",robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1528115889.66,1.899985525299524,2.1901061172611653,0.2384462077725112,0.4693253713646903,-0.043899996280670164,-0.12380000084638595,0.15139995574951157,0.013439999967813492,0.002259999997913838,-0.011279999911785127,0.04414493290950755,0.03651710708746564,0.008841592568080937,0.0072150406389216905,0.0057179631031388746,0.01510199125550758,-0.01364381256265104,-0.010189469324992637
1528115889.76,2.4042426936674266,2.685512879262447,0.27423476565229554,0.4844950128710183,-0.062499997615814214,-0.17659999936819076,0.15359996795654285,0.014200000017881393,-0.0005200000479817388,-0.011779999881982804,0.04304185318866546,0.02987327114786546,0.0075757483445143495,0.00498967922477099,0.003023735458900262,0.010739090912025667,-0.01215474272697087,-0.004037815935962279
1528115889.86,2.6548839884307176,2.981800016870269,0.26125929391408853,0.5328986014575486,-0.08569999456405639,-0.17699999898672103,0.13380001068115221,0.016480000168085096,-0.0015000000223517418,-0.0125,0.038170457017803784,0.027871407706747696,0.003307255385192871,-0.0020073322103784288,0.0005013327612082535,0.0071554232505115535,-0.0011290302716772688,-0.011845335456145011
1528115889.96,2.7682006361716365,3.1079261125034328,0.22761365320067858,0.5884570667559774,-0.11149999380111694,-0.1584000000357628,0.07399997711181626,0.01928000018000603,-0.0003600000031292437,-0.012680000066757204,0.03586343958758535,0.02501641362433274,0.00019147976586478109,-0.007707753527352501,0.00032800903531716893,-0.00029558919616788724,0.004091340002785396,-0.012779174997208279
1528115890.06,2.82365615037173,3.189990086914482,0.20728974805587463,0.5775957630368251,-0.07569998979568483,-0.15360000014305117,0.07539997100830063,0.01873999997973442,-0.0008600000105798242,-0.012860000133514406,0.039141566429643025,0.02089432053570632,0.0017426988878258645,-0.007827037017961721,0.0003536747998674534,-0.0034191799168048044,0.003241182085578686,-0.0075861429811450165
1528115890.16,2.8615350352979445,3.2609414943041672,0.20872506532014917,0.6214311408840975,-0.056299989223480236,-0.1835999995470047,0.06020000457763658,0.021080000102519987,-0.0003799999970942735,-0.012780000269412995,0.0367455115653197,0.018452873106386845,0.003612770042747149,-0.011640334220805817,0.0004033541263081474,-0.007975430771918281,0.002238179758231572,-0.011045894122434166
1528115890.26,2.890367220507275,3.3116572248066043,0.19702356206763816,0.6652313278111472,-0.0532999873161316,-0.17540000021457675,0.050000038146972514,0.02295999974012375,0.000980000039562583,-0.013360000252723695,0.03553514805969122,0.01841856527831206,0.0060517832108750984,-0.007138588679460725,0.0002171296525400909,-0.0036978470124794487,-0.0017676230491674976,-0.006350641201455424
1528115890.36,2.928055417341562,3.3543546926564365,0.2303372310481651,0.6947326443028259,-0.06309998750686646,-0.20620000064373017,0.05820003509521471,0.0241799995303154,0.0008000000286847353,-0.013640000224113465,0.031166522285162975,0.01661476752169984,0.006437604077303377,-0.001885736712593833,0.0014911043084186056,8.874794655583211e-05,-0.007796132891971529,0.0005334565146421495
1528115890.46,2.956807309647808,3.390420203209981,0.23457138634265154,0.6934412506834221,-0.0550999903678894,-0.21180000007152555,0.07840007781982408,0.024019999504089354,0.0009000000264495613,-0.013819999992847444,0.03195830974866642,0.01886749392667616,0.005108972630434107,0.003414442728484971,-0.0005457638545351949,0.005080057671647327,-0.003766836016861748,0.004825528014580098
1528115890.56,2.967112478738788,3.424048698457006,0.2683532217685932,0.7239898072930442,-0.08229999303817748,-0.23919999986886978,0.08160015106201159,0.024999999701976774,0.0009000000264495613,-0.014560000002384187,0.03083542542308779,0.023772435647973645,0.0027062048736194617,0.002160976704224592,-0.000306194075648931,0.005275048065803747,-5.0175603483348756e-05,-0.0009558336386552967
1528115890.66,2.9823795067294663,3.450857990577912,0.30597488235902226,0.7601598753517114,-0.09649999380111696,-0.27720000237226483,0.0802001571655272,0.0264599996805191,0.0007400000281631949,-0.014880000054836274,0.03229975063823659,0.02630745553315438,0.00155677673864726,0.0009490405822438815,-0.0002532925158273961,0.0030204413876129916,0.0025983316813208033,-0.001974950099505879
1528115890.76,3.0015721104230844,3.4796539355388987,0.3568234811790119,0.785863487159379,-0.11949999570846559,-0.3248000034689903,0.0790001296997069,0.02744000017642975,-0.00037999996915459637,-0.015139999985694888,0.03113991812339771,0.025720985494262286,0.0002856382529849194,-0.0016958264078155106,0.0003841664514907232,-0.0024382800900375028,0.0027593045924677786,-0.0002030973355902786
1528115890.86,3.0108243467191214,3.5139021969009874,0.38828738294978704,0.8024231806604053,-0.12769999742507934,-0.3550000044703484,0.08360012054443346,0.02810000002384186,-0.0016399999707937241,-0.015119999945163729,0.030315540465149712,0.02392202544670177,-0.0006824666073828166,-0.002415180545922714,-0.0004417712608594446,-0.003340475313527662,0.00607681076661268,-0.002576903348033003
1528115890.96,3.0213775715067777,3.5404042855029463,0.4362389596920714,0.8299716200957227,-0.13389999628067017,-0.4058000060915947,0.08000011444091783,0.02916000008583069,-0.00261999998241663,-0.015399999916553499,0.03214094522867239,0.027026390170804424,0.0033788449025831096,-0.002660906830956601,0.0038030064368452183,-0.002470228008018651,-0.005165614218432856,-0.0015479629040181415
1528115891.06,3.0389625018264654,3.554468776472903,0.4734537679450149,0.852165033626372,-0.13509999990463256,-0.4464000079035759,0.07740009307861313,0.030180000066757206,-0.003940000012516976,-0.015259999930858612,0.03337429186582837,0.024271692304979442,0.005486213890192327,0.0004927332643145637,0.003346738480402329,-0.0010230203068850546,-0.011329916509548258,0.003461411405686567
