,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm,tactile_static_data.left.std,tactile_static_data.right.std
1528855944.96,2.875727403050999,0.06479960602935463,0.026526453531110297,0.045053735089082864,16.541877334248813,16.091762769645833
1528855945.01,2.8472159585009544,0.06581470809825082,0.023240180890034476,0.04133854431274812,16.395096591392814,16.38676594199141
1528855945.06,2.6928235266025125,0.06365509798516078,0.023625648020881372,0.04382155209805388,14.93759096349267,16.71228693168056
1528855945.11,2.510622338661731,0.06485832501028903,0.02774646154163173,0.045293735322615714,14.09314513993526,17.02552544107408
1528855945.16,2.3650378585989182,0.06709347654278715,0.02060010124351368,0.035196167362249044,13.881226452828345,17.4452890145554
1528855945.21,2.640623764288112,0.06892196315441464,0.01731962225734501,0.029718345570179435,14.588082881453236,18.166609993227958
1528855945.26,2.505637975342445,0.0662844230497129,0.021031324458167584,0.033002341134088425,15.071855296673615,18.038706627764967
1528855945.31,2.3952969312594976,0.06729248637821084,0.02172949537429189,0.0346596204911121,16.42642367866548,17.86924862513848
1528855945.36,2.373736624632096,0.06591251998596957,0.014288865701318109,0.029393625497317732,18.899043697356134,18.137733723538318
1528855945.41,2.5247715211208996,0.06351478554551922,0.012040835347628603,0.024712787146837684,18.958136520311562,17.90939290444123
1528855945.46,2.3845059325984095,0.06101606535154906,0.015902212191298407,0.027970142338647065,18.615635045655583,18.529869941505773
1528855945.51,2.482947912021621,0.06116518021933414,0.013966042204416588,0.026795999838183163,18.25427990388078,18.648190139889685
1528855945.56,2.5257095523901394,0.06160653442340354,0.014853106929628055,0.026869114942962465,18.192833771891706,19.255640917566435
1528855945.61,2.3718984073497804,0.05763941336534712,0.024962317154604185,0.035662568779123376,17.48513063295103,18.831113489195054
1528855945.66,2.4939131546449946,0.05746549195018986,0.02728975378196998,0.04074849386031953,17.910562067683717,18.474301371919463
1528855945.71,2.436435171272504,0.055793674733035176,0.025907375670205506,0.039285495993954436,17.70851279711376,17.80744702198687
1528855945.76,2.1600382844283597,0.0560301390448161,0.029005790916292875,0.04132322977463261,18.375364351839323,17.632078998284356
1528855945.81,2.205848963986297,0.05740268397028038,0.03262854477996559,0.046358371093484355,17.9712820528312,17.14838852066372
1528855945.86,2.542154441712208,0.0606870396154616,0.025140921491172384,0.03747648304767712,17.600656051055886,16.8515325080692
1528855945.91,2.395946904623252,0.060767363778683345,0.024229263989013664,0.03613408406449943,16.53833643901513,17.000085562793522
1528855945.96,2.4362143765286604,0.06468444743757633,0.02586702440866256,0.03486590745383106,16.915826403355545,16.651031954534265
1528855946.01,2.8723977840409383,0.06503326629987198,0.023063436022319455,0.03278684075462429,16.95739213180414,16.36688757110147
1528855946.06,3.1920230402733694,0.06258734907896002,0.01810830315955673,0.025245390639928006,16.637542879146817,16.08186467766321
1528855946.11,3.1039292436936066,0.06395995021745489,0.017737515551723634,0.02653809083961336,16.755017793394956,17.171099755584702
1528855946.16,2.816744669757994,0.06062420628317687,0.021285972125527197,0.030223759711125734,16.817580059424664,17.943622705979422
1528855946.21,2.779288288704301,0.0601653156245276,0.021883713722140586,0.03445646810483219,16.711135470925775,17.763915889169727
1528855946.26,2.4764208744993113,0.06355752659261685,0.020888727505900956,0.030910912602511387,15.663181185012414,17.916827157283144
1528855946.31,2.130452347389566,0.06726804810060677,0.019683046203781623,0.0308554945268723,15.80703019524178,16.948959885035286
1528855946.36,2.0616346360155875,0.06834520655384663,0.018684425344075294,0.03006480669110744,15.702055047698897,15.679014462284274
1528855946.41,2.3514734119828002,0.0732411158951485,0.017373927522678724,0.030362639928369208,16.69030761200418,14.400353445213455
1528855946.46,2.2574929655891904,0.07290844597714279,0.014090616056313152,0.024517911424701732,17.21653003466177,13.989333311499413
1528855946.51,2.3303867339345903,0.06831946710849968,0.012659454151064495,0.022083148178780394,18.262319962327275,13.613835550224042
1528855946.56,2.54538410752363,0.06837468855584271,0.020567338563172083,0.030890552529859606,18.55428161639843,14.298679255560625
1528855946.61,2.7073574599483523,0.06978269924089717,0.02491754661431543,0.034877950015250764,19.494962006983037,14.818852578669306
1528855946.66,2.7185244475546537,0.06908114622271451,0.02208604831754754,0.029761941873028896,19.91344207973119,15.625685852777938
1528855946.71,2.8090939646579027,0.06669246339063788,0.02488155023674601,0.034843171986445175,20.738311518687816,15.909115393803603
1528855946.76,2.974776577858692,0.0690865550004298,0.0270254960698417,0.03670901811219446,20.116659476299496,15.848524791724845
1528855946.81,2.9956636401651604,0.06781566022478867,0.022731524975600388,0.03190960570423708,20.432143498237018,15.77925614707811
1528855946.86,2.8056575971644064,0.06679943985978944,0.017147914452763473,0.025731920468385377,20.065159296220383,15.395378298977858
1528855946.91,2.6470001477561746,0.06719252272956727,0.016950885000128865,0.024545574051088547,19.047238736672178,14.640110048138228
1528855946.96,2.7915717754557616,0.0708866944368716,0.020027304280336757,0.027509696918995137,17.7541061994296,15.14491424097641
1528855947.01,2.8403163271241096,0.06952333709743141,0.01895677665584514,0.028778595567840157,18.370197637424102,15.609721008382532
1528855947.06,2.6387460108728944,0.06864805977180162,0.018351702288074506,0.02711773587628022,17.71037894610896,16.745545845491467
1528855947.11,2.7672454498470658,0.06612977064640818,0.01749172113899682,0.028138712639721744,17.138131756512287,18.014112884997694
1528855947.16,2.811830513797729,0.06403946262700527,0.016953917420130565,0.02986683073576341,17.21743477460218,18.60339070510818
1528855947.21,2.729724837463167,0.06514939869071863,0.009051772990509663,0.02282725091961046,17.966222224105604,17.684669588501972
1528855947.26,2.6209317258582754,0.06698714564803862,0.010060507483265767,0.028632444645135598,17.41672870870009,17.052533402762133
1528855947.31,2.730016515542237,0.06809225478911862,0.008570038757358987,0.027426686127863673,16.610385768703402,15.819326485842277
1528855947.36,2.5357531642791424,0.06969211575871494,0.010690009439114571,0.03059652518204067,17.27063649694117,14.931130839914896
1528855947.41,2.3053787883164234,0.06899380621879958,0.010838013151768093,0.030582738584670643,17.73710978445198,14.947405224673977
1528855947.46,2.3790565952880023,0.06766517298161469,0.011877575145327085,0.029685546446159353,18.159725912950904,16.407271074194913
1528855947.51,2.260593472403399,0.06724667265947891,0.012565723464952883,0.02768460400313478,18.65617617665774,18.095111242362734
1528855947.56,1.9827306061929604,0.06534978634252178,0.016125807717525198,0.0330672821192204,19.556997274208918,19.465473931314676
1528855947.61,1.9165673500306706,0.06812974663762186,0.01831797532109276,0.03366992412034659,18.894944399663405,19.96561087469421
1528855947.66,2.279067022828756,0.06807196259071532,0.024519003729955104,0.038476624612954875,17.59958635551886,19.94410578267698
1528855947.71,2.2780680692665607,0.06706756322864647,0.024842459374375306,0.042601824676446985,16.065409218063138,19.6005079585603
1528855947.76,2.610243390998181,0.06358471456667994,0.02544533934855325,0.039591652788521295,15.563484906886417,18.233199708618915
1528855947.81,3.126660397253406,0.059567767978693245,0.024924790398106418,0.037148915913728466,14.770595441643342,16.517877025719294
1528855947.86,3.292053095647538,0.05547413910596263,0.02393190490606369,0.035098980129186434,14.849167356973268,15.360982624504507
1528855947.91,3.1289427909002394,0.05516989195156826,0.01791337029257971,0.028134672942455193,16.68831287002665,14.986419366644784
1528855947.96,2.8071132924381272,0.05375257774551879,0.020043504774511726,0.029141689262978276,17.291570492944825,15.050769915609775
