,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0
1528856217.75,0.048099999427795415,0.036299999393522714,-0.05000003814697252,0.006499999985098839,0.004980000033974648,-0.0011599999945610762
1528856217.77,0.01889998912811279,0.015100000165402869,-0.05680004119873033,0.006519999876618385,0.004879999980330467,-0.0009800000023096802
1528856217.79,0.006699995994567872,0.017300000227987746,-0.05660003662109361,0.006399999931454659,0.004739999994635582,-0.0010000000055879355
1528856217.81,-0.002900004386901856,0.00010000023990867229,-0.05420001983642564,0.006539999917149543,0.0047600000351667405,-0.0008000000007450581
1528856217.83,-0.02590000629425049,-0.015100000165402912,-0.04860000610351549,0.0066199999302625654,0.004520000070333481,-0.0006599999964237214
1528856217.85,-0.03150000095367432,-0.006700000278651737,-0.044000015258788924,0.006779999881982804,0.004340000078082085,-0.0005400000140070915
1528856217.87,-0.04990000247955322,-0.018700000382959867,-0.043199996948242045,0.006659999936819077,0.004380000084638596,-0.0005400000140070915
1528856217.89,-0.060900006294250485,-0.007900000624358678,-0.05180000305175767,0.006739999949932098,0.0047600001096725466,-0.000840000007301569
1528856217.91,-0.05630000591278076,0.023499999232590177,-0.05060001373291002,0.0064799999445676795,0.005120000094175339,-0.0011800000164657832
1528856217.93,-0.03450000286102295,0.06990000028163193,-0.04159999847412095,0.006440000012516975,0.005280000045895576,-0.0018200000282377008
1528856217.95,-0.0487000036239624,0.08809999961405991,-0.036599998474120946,0.006480000093579292,0.005500000044703484,-0.0019000000040978197
1528856217.97,-0.035899996757507324,0.11890000004321336,-0.025600013732910015,0.006400000080466271,0.005220000073313713,-0.001759999999776483
1528856217.99,-0.017499995231628422,0.16810000140219925,-0.009000015258788921,0.00640000008046627,0.004919999986886979,-0.002000000001862645
1528856218.01,-0.010299992561340336,0.19089999992400405,-0.0013999938964842332,0.006580000072717667,0.004719999954104424,-0.002560000028461218
1528856218.03,-0.018699994087219243,0.15849999893456698,-0.007600021362304545,0.0065600000321865085,0.004679999947547913,-0.0023400000296533107
1528856218.05,0.004299998283386231,0.14689999926835298,-0.018600006103515483,0.006319999992847443,0.004599999934434891,-0.0023600000329315664
1528856218.07,-0.004300007820129394,0.13249999899417164,-0.02759998321533189,0.0062999999523162846,0.004599999934434891,-0.0019800000358372928
1528856218.09,-0.023100008964538576,0.08389999765902756,-0.028399963378906108,0.006279999911785126,0.004199999943375588,-0.0013400000333786011
1528856218.11,-0.05110001087188721,0.04209999937564133,-0.03479999542236314,0.006379999965429307,0.004019999951124191,-0.0008600000105798245
1528856218.13,-0.042500014305114756,0.04869999993592499,-0.02659999847412095,0.005819999948143959,0.004179999977350235,-0.0007599999941885472
1528856218.15,-0.06350000858306885,0.05249999988824127,-0.0088000106811522,0.005519999936223031,0.004479999989271164,-0.0007799999974668027
1528856218.17,-0.06970000743865967,0.056499999947845915,0.008599967956543112,0.005159999951720238,0.0049599999934434895,-0.0010000000055879355
1528856218.19,-0.08730000972747803,0.04430000010877846,0.013799972534179831,0.0045600000023841855,0.005539999976754189,-0.0012600000202655792
1528856218.21,-0.08610001087188722,0.04030000004917381,0.025000000000000144,0.003839999958872795,0.00592000000178814,-0.0012600000202655792
1528856218.23,-0.11310000896453859,0.019699999429285506,0.03140003204345718,0.0038199999928474424,0.005960000008344651,-0.0011000000289641322
1528856218.25,-0.11150001049041748,0.0012999999150633585,0.03440002441406264,0.003940000012516975,0.006140000075101852,-0.0004400000325404107
1528856218.27,-0.08470000743865967,0.005099999271333196,0.03240001678466811,0.004020000025629997,0.006260000094771386,-0.0001600000238977372
1528856218.29,-0.03850000858306885,0.03169999968260525,0.03299999237060561,0.004060000032186509,0.006380000188946724,-0.00010000001406297084
1528856218.31,-0.015300002098083507,0.023099999837577323,0.03679996490478529,0.004240000024437905,0.006380000188946724,1.999999163672334e-05
1528856218.33,0.019699997901916504,0.01490000050514934,0.03379993438720717,0.0042999999970197685,0.006360000148415566,-4.000001121312377e-05
1528856218.35,0.033099999427795415,0.020100000388920288,0.028599929809570455,0.004319999963045121,0.006320000067353249,-0.0003000000072643161
1528856218.37,0.02509999752044678,-0.028899999372661137,0.03259994506835952,0.004459999948740006,0.006380000039935112,-0.00011999999638646837
1528856218.39,-0.01950000286102295,-0.015899999849498293,0.035199966430664205,0.004619999900460244,0.006419999971985817,-0.0002799999853596091
1528856218.41,-0.044900002479553225,0.001499999947845912,0.038399963378906395,0.004659999907016755,0.0065600000321865085,-0.000580000001937151
1528856218.43,-0.05309999942779541,0.04289999861270188,0.04339996337890639,0.004659999907016755,0.0066800001263618465,-0.0010799999814480544
1528856218.45,-0.044900002479553225,0.05509999919682739,0.05159996032714858,0.004659999907016754,0.006680000126361847,-0.0015199999883770945
1528856218.47,-0.032699999809265134,0.07589999962598085,0.05219997406005874,0.004459999948740006,0.006420000120997429,-0.002139999996870756
1528856218.49,-0.010699992179870606,0.04809999991208312,0.06599998474121109,0.0043599999696016314,0.006340000107884406,-0.0018999999947845938
1528856218.51,0.014900002479553224,0.04230000000447033,0.0674000167846681,0.004239999949932099,0.006200000047683716,-0.0014999999757856132
1528856218.53,0.0312999963760376,0.013500000648200491,0.06880004882812514,0.004239999949932099,0.006040000021457673,-0.0009199999924749136
