,"tactile_static_data.left.std.clip(ret/60.0, -1, 1).max()",robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z
1529057463.94,0.4982397537709372,0.18670234097524327,0.30721858223339693,-0.1469999885559082,0.05650000721216203,-0.03850006103515654,-0.003800000064074993,-0.002660000026226044,-0.011340000033378601,0.032754211333695084,0.017121684152139348,0.0015328752606208064,0.006973915119456282,0.00025391483281981294,0.00025680348589336775,0.0005551841095574384,0.008164219232188004
1529057464.04,0.49166335916176934,0.18412149151778834,0.3091630070336261,-0.14479998588562015,0.05930000692605973,-0.03530006408691434,-0.003360000029206276,-0.003500000052154064,-0.011240000128746033,0.0376124786228509,0.02074138483911967,0.00368060094285889,0.006766765078984353,0.0009933411225921157,-0.0018293399280128822,-0.003282762787706586,0.008146094507150375
1529057464.14,0.48476675101651634,0.17735601327543263,0.3078425490341797,-0.1453999900817871,0.04830000549554825,-0.025300064086914348,-0.003220000043511391,-0.003740000016987324,-0.01118000015616417,0.03122235441968687,0.01949483505824036,0.0023519796962480632,0.00561216332986955,-0.001177431951537513,-0.0035454731429168003,-0.00015979580747676916,0.008371132837993962
1529057464.24,0.48995312861266377,0.16936452669049215,0.3106070703108631,-0.11939999580383302,0.07170000463724137,-0.027300033569336225,-0.0027200000360608103,-0.004259999990463257,-0.011220000237226486,0.036566300735907484,0.023876408811159176,0.0060584786270865615,0.004021657992719575,0.0026915960489080435,-0.0040171525844004295,-0.010058850094191971,0.004326830434934842
1529057464.34,0.4977804387958966,0.11180258047757706,0.3004321265638782,-0.06579999923706056,0.040300005078315736,-0.030300064086914345,-0.002520000040531159,-0.004720000028610229,-0.010620000064373017,0.04317744565492705,0.027854797805399338,0.0017861322965580968,0.0015929235791389326,0.002681889636708111,-0.008435885025305028,-0.0068065830094705595,0.0016198567322117275
1529057464.44,0.4807419049793903,0.15764481299151012,0.3056312984846042,-0.10620000839233401,0.09570000380277635,-0.030700073242187785,-0.0025800000131130218,-0.004659999981522561,-0.010839999914169311,0.04029508746158049,0.0279809155794759,0.0053811465131609025,-7.092511094655739e-06,0.004790502362179401,-0.0076287862766105195,-0.011920071768754571,-0.0005014057058960971
1529057464.54,0.47182048874991106,0.16217719278035475,0.3171297185477866,-0.09640001296997072,0.11530000418424607,-0.016300048828125285,-0.0030000000074505806,-0.0036799999698996547,-0.011539999991655352,0.036972354758292775,0.02617577671653755,0.0001261235024975077,0.00014827442564335335,0.0009896120904827415,-0.0023418961876707847,-0.0013272599817375072,-0.0030941222514560985
1529057464.64,0.4688907417825606,0.17599942548031683,0.33284029635987067,-0.09200000762939455,0.14390000462532043,-0.01210006713867216,-0.003199999965727329,-0.003740000016987324,-0.01214000001549721,0.041298638923940006,0.02959386876560363,-0.0023457977886102484,0.0025250905599766916,-0.0007471254358577791,0.002924648034032046,0.005735022371323456,-0.0013139318817876697
1529057464.74,0.5116947423481433,0.17396778933419552,0.3421548944766362,-0.10800000190734865,0.1187000048160553,-0.010100097656250284,-0.0037199999392032628,-0.002920000031590462,-0.012659999877214433,0.03526992748002919,0.025985405805152424,-0.005368461391489969,0.0022877526587648535,-0.0034616701310428493,0.0012168905555898463,0.009515200162573621,0.0008129275780071659
1529057464.84,0.5231209953220581,0.183131396652215,0.33872585949980444,-0.12420000076293948,0.1159000051021576,-0.010900039672851847,-0.004059999957680702,-0.0023000000044703485,-0.01267999991774559,0.031719113763753776,0.02525157620681459,-0.0027484062417175528,0.005658440627852316,-0.0014966857534677214,0.0020677766344509166,0.006711738246324186,0.007178308498280489
1529057464.94,0.5425915123427196,0.15175438769837513,0.3248451198657839,-0.10779999732971195,0.08610000580549239,-0.011700057983398722,-0.003879999965429306,-0.002360000051558018,-0.012120000123977662,0.032587564763437805,0.03189452129023135,-0.0021588652556510696,0.00323736594536668,-0.0008183180539026956,-0.005399519938307555,0.004004198691903445,0.013696058017480948
