,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z,tactile_static_data.left.std.ret/300.0,tactile_static_data.right.std.ret/300.0
1528114648.59,0.17138824652232,0.10667871889292013,-0.017099990844726545,0.1355000001192093,0.028400001525878907,0.0003999999910593033,0.0002399999834597111,-0.0041000000387430196,0.03237089541265765,0.020145433608503033,0.0022007751425803554,0.0033973601602944425,0.002114620708798592,-0.00036242656884833606,-0.007557458781287277,0.00580781333995711,0.056583127822260285,0.05115792525682264
1528114648.69,0.1629151038910514,0.09756754542275957,-0.040499992370605455,0.09350000202655792,0.0031999969482421876,0.0007599999941885473,0.0006199999735690654,-0.0034200000390410424,0.029296682979059224,0.019406551245407386,0.00279029691886054,-0.0012620361914478734,0.003367506183922674,-0.0056102161986429765,-0.008615919125323586,0.0022129216467287063,0.05372095022726224,0.05195313060393748
1528114648.79,0.18033391714000413,0.092870179007217,-0.044499988555908185,0.09850000202655793,0.029199981689453126,0.0005399999860674143,0.00041999997803941373,-0.00318000003695488,0.0242234816562061,0.015981459895183507,0.004344822603680834,-0.002388943253503582,0.005395047985249253,-0.005343133988128291,-0.011067044364999412,-0.0009081454484978796,0.055113768805831166,0.05007461923388217
1528114648.89,0.17844279615475633,0.07850298319465075,-0.025299987792968735,0.09250000298023224,0.03279998779296875,0.00041999999433755885,0.0005399999790824951,-0.002540000006556511,0.022049704007393593,0.012375764108937,0.0022139292892910368,-0.0004858701748695464,0.005213964106225256,-0.004783947983178437,-0.005466971214571213,-0.0010349993351660121,0.057044509660650625,0.049662094728298724
1528114648.99,0.1930318942159384,0.0725376355498684,-0.018499994277954086,0.12050000250339508,0.03099998474121094,0.0003799999924376608,0.0005599999800324441,-0.0023000000417232516,0.027209429278912036,0.0161067730085439,0.0016470152614595636,-0.004721089132720298,0.0030733617424963337,-0.009835221509502326,-0.004044476851269289,-0.0012371978045339635,0.06247988511465866,0.04999662520913392
1528114649.09,0.18781032695916886,0.05713585633715396,-0.002899999618530254,0.10970000326633454,0.07180000305175781,1.9999998621642575e-05,0.00017999999457970264,-0.0018200000002980235,0.03024103294488002,0.01867839734985686,0.002347771263408916,-0.004150670419616779,0.004123220140884658,-0.008618248377184017,-0.006154460487575862,-0.0024334667229477746,0.06422521790969414,0.05111836830338601
1528114649.19,0.1825720899082687,0.06152560817016606,0.00430000305175783,0.13150000154972077,0.11279998779296875,-0.0005600000033155084,-0.000339999997522682,-0.0023000000417232516,0.0340523227290344,0.019421163316726702,0.0026805599771373575,-0.00487835420095013,0.0017651462944491333,-0.008644547279627865,-0.003359858008524615,-0.0031315129470649455,0.06829060213165691,0.04884254699836529
1528114649.29,0.156024167839685,0.062123797984913236,-0.005100002288818342,0.09589999973773958,0.09559997558593751,-0.0003999999980442226,-0.00014000000199303032,-0.0023800000175833703,0.048202853998079234,0.0289026144109325,0.006441104733150691,-0.003641143806243336,0.006049488043117134,-0.010576952015819154,-0.012572382744661402,-0.00013084872455303408,0.07303265183889372,0.049462101173686775
1528114649.39,0.14005950413819382,0.0686011914554758,-0.015299997329711898,0.07569999992847443,0.04900001525878906,6.000000284984708e-05,7.99999968148768e-05,-0.0026000000163912775,0.050409819611695064,0.03062841306440456,0.004486492927420084,-0.003091534270138481,0.004080755656955807,-0.009811415324164866,-0.010411391681738479,0.0009644373292366795,0.07346445006111302,0.04836491264620325
1528114649.49,0.14188354318613391,0.07707178779118287,0.02930000305175783,0.046099999547004694,0.007400016784667972,0.00047999999253079296,0.0004599999845959246,-0.0027400000020861627,0.052109153691866646,0.03191943399323747,0.007789044074899534,0.0038031167523433196,0.007197754821848051,-0.0026518206881766615,-0.017390375272908282,0.0017376303490365765,0.06517357324733143,0.04801314992441111
1528114649.59,0.1515357753363332,0.09019211188632782,0.050900001525878924,0.04930000126361847,-0.027000007629394536,0.0008399999863468111,0.0006799999810755253,-0.00318000003695488,0.05279238750263474,0.030458748610956456,0.00511009600347359,0.0016857415591178843,0.0024808627216079343,-0.004083510010021756,-0.010007126255528144,0.0012048205282621967,0.06217014813437334,0.045067648743286684
1528114649.69,0.14551619825250614,0.08895201188022743,0.07809999465942384,0.019700002074241635,-0.05759998321533204,0.0012800000025890766,0.001159999966621399,-0.002999999970197678,0.050653076123329525,0.0320282159043158,0.0037073538918828844,0.005838805664193103,0.003125430739575497,0.0033219453740094412,-0.0099533423374507,0.001410169776472788,0.0652861909969642,0.04870726043383588
1528114649.79,0.15519977031588944,0.09907061425096515,0.09029999732971193,0.02790000140666962,-0.046399955749511716,0.001200000001117587,0.0010799999628216027,-0.003399999961256981,0.04151012289189724,0.02475420311844654,-0.0016204913373619502,0.001781856499550186,-0.0022792590011159668,0.0035291332079268635,0.0019837805480421105,-0.002280697155065226,0.06794361990841613,0.04687848874479253
1528114649.89,0.17896034030277153,0.10069241082124519,0.10589999198913576,0.0554999989271164,0.0008000564575195288,0.000899999993853271,0.0008599999640136958,-0.003579999953508377,0.04173090619095258,0.024550858147564955,-0.0007752955734571589,-0.0023124104754341183,-0.0033161694780811397,0.0013993226085397925,0.0026436012446569073,-0.0074295005019550855,0.06640962168462516,0.04996025821500663
1528114649.99,0.14999366620598367,0.08068021982260229,0.07169999122619632,0.04569999873638154,0.03440006256103516,0.0005400000070221722,0.00047999997623264794,-0.002959999963641167,0.03605481032931045,0.02110726234181381,-0.003296376246649958,-0.007294009906251918,-0.007868008742343707,-0.0030090268687941488,0.008643858788560246,-0.004450643724905226,0.06525342409618202,0.05178544423775413
