,baxter_enpoint_pose.pose.position.x,baxter_enpoint_pose.pose.position.y,baxter_enpoint_pose.pose.position.z,baxter_enpoint_pose.pose.orientation.x,baxter_enpoint_pose.pose.orientation.y,baxter_enpoint_pose.pose.orientation.z,baxter_enpoint_pose.pose.orientation.w
1528856330.77,0.5290290102614056,-0.8174948770314288,0.18417218995651938,0.9999346804536337,-0.004898651580731368,-0.009405208590588042,0.004220854410507415
1528856330.82,0.5289181462228001,-0.8174520777506851,0.18417036901571457,0.9999341251077237,-0.005054788142082134,-0.009436297018870311,0.004086022051521948
1528856330.87,0.5288633593776283,-0.8173467807785804,0.18395828928849509,0.99993366883378,-0.0050246073945509435,-0.00956374507514571,0.00394371745191073
1528856330.92,0.5288669184688041,-0.8172038951040094,0.1836918703229747,0.9999338560209214,-0.004904814320146803,-0.009682914349537473,0.003764900139869128
1528856330.97,0.528935519076269,-0.8171704465156882,0.18356650131901978,0.9999342111684959,-0.004828115362323752,-0.009702282815419062,0.003725606017440311
1528856331.02,0.5288421428155038,-0.8174026833629745,0.1835960583516323,0.9999337544810083,-0.005002715315807724,-0.009633617665227539,0.0038037912639731957
1528856331.07,0.5289685284323943,-0.8173595992189758,0.1835488716505551,0.999934819673383,-0.00484818653802309,-0.009595370380164848,0.0038224298446608994
1528856331.12,0.5290164140520196,-0.8173164220805686,0.18352122931655607,0.9999352612175274,-0.004760956859457627,-0.009594226147263473,0.0038232667958329
1528856331.17,0.5291190101538963,-0.8173249610206139,0.18374703392787287,0.9999363734053315,-0.004685312649100406,-0.009457735652251966,0.003955656094902805
1528856331.22,0.5289066871672408,-0.8173831424671472,0.18369460285192699,0.9999350851523606,-0.004753359934859218,-0.00956393861116504,0.0039332598156740515
1528856331.27,0.5287502533378785,-0.8172955475399808,0.18354352590455014,0.9999335888098716,-0.004769886660593527,-0.009745345620020366,0.0038444916516265793
1528856331.32,0.5283851583036316,-0.8172526080956826,0.18330655178456828,0.9999306135410786,-0.004870080194269175,-0.01003363527615391,0.0037056511767467218
1528856331.37,0.528390659637693,-0.817060100798811,0.18325064401300997,0.9999311095505276,-0.0048667258867187745,-0.010035289590812718,0.003570126519868697
1528856331.42,0.527998921426885,-0.8167612989247253,0.182815663641792,0.9999276483377857,-0.004955676799923783,-0.010465066893129473,0.0031615645153843888
1528856331.47,0.5279569144349059,-0.8163877334720373,0.18254815844338768,0.9999276533665745,-0.004834143635691949,-0.0106087980586984,0.002855728547760598
1528856331.52,0.5279473636603543,-0.8160676158583021,0.1824268467892592,0.9999282161198633,-0.004610657184601324,-0.010713714400164874,0.0026528618483102093
1528856331.57,0.5279300428661374,-0.8159596173535797,0.18235543182656339,0.9999279868896607,-0.004562598364885565,-0.010770366601844881,0.002594323787387496
1528856331.62,0.5277426049936194,-0.8158370637396642,0.18209346807363005,0.999926502534671,-0.004520003695295562,-0.010984252469987653,0.002390523132622668
1528856331.67,0.5278831307702724,-0.8158258195032692,0.18214396253075654,0.9999274561807011,-0.0044430732017820655,-0.010910754311811668,0.002478203183128427
1528856331.72,0.5278639903877044,-0.815843541619017,0.18210113511354067,0.9999265021610155,-0.004370601024216353,-0.01101180177366571,0.0025455801781852612
1528856331.77,0.5277956940300171,-0.8159782999109326,0.182011521463731,0.9999259534064966,-0.004503279236709954,-0.01100929718003984,0.0025479611757858044
1528856331.82,0.5280477426505527,-0.8158491397521659,0.1820574168734241,0.9999282071260518,-0.004378438931887923,-0.010858869183755879,0.002523664385436474
1528856331.87,0.5280713352363774,-0.8158313132708734,0.18204926466665694,0.9999279489478544,-0.004292365328425328,-0.010906625600634273,0.0025627467222943735
1528856331.92,0.5279894366817015,-0.8158499705078116,0.18204108226492902,0.9999274888323758,-0.004361901364493796,-0.010929847621707855,0.002518701035993865
