,robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z,tactile_static_data.left.std.ret/300.0,tactile_static_data.right.std.ret/300.0
1526717388.33,0.1942411212727463,0.415138246038257,0.047999987602233965,-0.15489999920129777,0.07610008239746109,0.008039999902248383,0.012559999823570252,0.007259999960660935,0.045634565355196166,0.024508834301342448,0.0014701737060835896,0.011997981255463584,-0.0004046345347190275,0.006084991264212768,0.0011035863636695278,0.013362737579177759,0.06601150308879143,0.05212372820169476
1526717388.43,0.19086727837158762,0.43035822630637793,0.07239999294281013,-0.12509999930858615,0.019100036621093885,0.00853999987244606,0.013059999793767929,0.007140000015497208,0.041644549040770806,0.023621344361426953,0.0016538628841860179,0.007736975414333527,0.0008946920048940013,0.00011354624677198131,0.00022263452133393662,0.01012444953026052,0.06593725999709014,0.05094629053289094
1526717388.53,0.18440941466311744,0.4387433429270446,0.07659999370574959,-0.12709999933838845,-0.009499969482421735,0.00883999988436699,0.013179999887943269,0.007360000014305115,0.04036456453995767,0.022300352850003324,0.00041287489836278133,0.011534321454978586,-0.001871269810519437,0.008174443274209851,0.004012249526380068,0.006277136190610209,0.06387415989410711,0.052212228002479676
1526717388.63,0.17697340358568808,0.4415853621985908,0.03059998989105232,-0.12629999920725823,-0.022699966430663923,0.009120000004768371,0.013219999969005585,0.007199999988079071,0.04228275291492563,0.0255777484844432,-0.000667918360403372,0.007633981950270053,-0.0008191450617222585,0.0034018684036493186,0.005339710906142801,0.0017214868963067453,0.0582115364632489,0.051445209533846153
1526717388.73,0.17156206439738764,0.437503145077275,0.0007999944686890413,-0.11969999924302102,-0.01749999999999986,0.009079999923706056,0.013260000050067902,0.006780000030994416,0.04140012783008545,0.024338148862186753,0.0008204542613790504,0.007044937083869213,0.0005441800461305896,0.0018911412280672082,0.0013815353617275643,0.0022683477287217912,0.05492926052549826,0.05151976736632882
1526717388.83,0.15968298763919161,0.44734091398796266,-0.03240000247955316,-0.10429999962449074,-0.027300033569335795,0.009519999921321869,0.013620000183582308,0.006580000072717667,0.041887572529460404,0.02680765233729316,0.002356978561913073,0.00611621973482256,0.00220380956661143,0.0006866412932509344,-0.0025055384181884195,0.0035358742067129684,0.052483061112295525,0.05168845324418131
1526717388.93,0.15696961101939355,0.4363261680355719,-0.05540001392364496,-0.13349999949336053,0.01909996032714858,0.009139999896287918,0.013340000212192537,0.006520000025629998,0.04217988246393198,0.027495277142661687,0.0018104359672345448,0.005379503521128241,0.000971065511135203,0.004804053858181079,-0.0025626080772080634,0.0013424124328914055,0.0472058590479581,0.05374767563650103
1526717389.03,0.13304110844530317,0.43220728213323933,-0.06360001087188714,-0.09610000014305116,0.027699966430664205,0.009159999936819077,0.013440000116825104,0.005720000043511391,0.0439523042988129,0.02599011677762642,0.0020580729564335766,0.005960721779134031,0.00219165054671468,0.0010196711109131658,-0.0017823593419298812,0.005169208146228328,0.04753419895593926,0.052142929962390894
1526717389.13,0.110743349167097,0.4309871021404065,-0.04260000705718988,-0.07789999991655351,0.025899963378906394,0.009179999828338623,0.013440000116825104,0.005540000051259994,0.04231177692303352,0.027288049606078335,0.004014133778334609,0.010766336261010843,0.001461233390446737,0.00043011118233058764,-0.003860954836944652,0.017149035413776173,0.05400808281759762,0.05019979922800087
1526717389.23,0.13014597595445793,0.42877471827309266,0.01940000057220466,-0.05949999958276749,0.022299957275390768,0.009199999868869782,0.013400000035762787,0.005340000092983245,0.04031537362327198,0.0270914949264251,0.0024066453326272493,0.0060658661958500944,0.004109556395964387,0.00045014482790736645,-0.0053389126599152625,0.012246549269638071,0.05596732276329367,0.049709463102697186
1526717389.33,0.11333555750830555,0.42595375942449687,0.03999999523162849,-0.05049999862909317,0.02249992370605483,0.00911999985575676,0.013260000050067902,0.005420000106096268,0.03877993692552391,0.025413042014372184,0.0018752364744672844,0.000912726794218187,0.005043190025981989,-1.8544528715945856e-05,-0.006703818124687332,0.003494022264145196,0.05986880683792219,0.0496837632172503
1526717389.43,0.1309679285669805,0.43268232940322926,0.0451999998092652,-0.07089999914169312,0.014899978637695457,0.00911999985575676,0.013219999969005584,0.006140000149607659,0.03896971107341238,0.02733434173391189,0.0018295208911306602,0.004324363075132158,0.005607586354664195,0.003738999522699419,-0.004974402757606944,0.008679553622110219,0.0614036629079892,0.04854389298831515
1526717389.53,0.16164557073686245,0.43777540434498396,0.07259999752044685,-0.10729999840259552,0.026299972534179834,0.008899999856948853,0.013120000064373015,0.007240000143647195,0.037358362829476535,0.027022552633585297,0.0006039618036670007,-0.0010464670111304812,0.003186646786959177,0.0020772992778740193,-0.003359061632877812,0.001664962995532762,0.06118742159830458,0.048042772815318914
1526717389.63,0.17739105378232925,0.4338566786487032,0.061599993705749576,-0.12109999895095827,0.040299987792968894,0.008539999872446061,0.012939999997615815,0.007680000066757202,0.03395676775331483,0.023065099741437778,0.0009787668527650654,-0.0022644363390329457,0.004016777618531842,0.007838846680520976,-0.006714839998941674,-0.008989543424682205,0.0572589115785884,0.05213131116215574
1526717389.73,0.1529746989908399,0.4365795801444134,-0.0020000123977660395,-0.11329999923706055,0.053700027465820456,0.008499999940395356,0.012939999997615815,0.008040000051259995,0.034468314662308444,0.02417992073823722,0.0023899307109980813,-0.001388769483601257,0.004118449857701398,0.008337046792608587,-0.008110195397376223,-0.006177436939480816,0.05937442173841045,0.051275028473151345
1526717389.83,0.19390206921551104,0.43039567457476924,-0.04240001201629632,-0.09370000123977662,0.07110008239746107,0.008499999940395356,0.012800000011920928,0.007679999992251396,0.02933424125531051,0.02167651775829847,0.0021134100573859884,0.00026305674931163857,0.0022042911116497616,0.008875588866792848,-0.005964872006015624,-0.0029310783889672934,0.05651331389044234,0.053340041401560546
