,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm,tactile_static_data.left.std,tactile_static_data.right.std
1526716017.19,2.9989273552975684,0.17963622268262955,0.012794843674099441,0.0239393647051254,50.317133453051206,15.23220431056275
1526716017.24,2.834644536465116,0.1783227944475081,0.013801906507134512,0.02292424921708231,50.681532459637594,15.855279480220574
1526716017.29,2.9440409476132197,0.17934600713893536,0.012205110355778684,0.021656234808110995,50.55168782331361,15.670290768545035
1526716017.34,2.7121393802533116,0.17865982632787875,0.011346145834960804,0.01503796952100405,51.523016244737796,16.21243599462507
1526716017.39,2.422025316014214,0.17344709911726355,0.011768320513543427,0.017476976457471205,51.445869724340014,16.452050443394903
1526716017.44,2.1700248508958815,0.16823039244176702,0.014367243287244862,0.01945872191167429,51.904450767832905,16.756725316069947
1526716017.49,2.000916244664397,0.16838693894851234,0.0159875310999785,0.02333054899012708,52.56919877347767,16.790425897424235
1526716017.54,1.7443563235267074,0.16411309578006475,0.01692552458706209,0.027217667370494462,52.81621903535991,17.081798933006606
1526716017.59,1.719634591604654,0.15919858480410767,0.015041711248961039,0.028402987241013884,52.3979626111346,16.504512027602452
1526716017.64,1.7904558346088595,0.16114253684654434,0.01910633606277096,0.03772534519584418,53.22648642768862,15.81665811377392
1526716017.69,1.6757838269706757,0.16236285316489046,0.01533519371410638,0.03264743525811318,54.326188464790775,15.579293878615134
1526716017.74,1.5934704122258465,0.1610576021054578,0.017811728585701316,0.034205445839853736,53.797639530308594,14.823988733382157
1526716017.79,1.4055054314459956,0.1634965019193134,0.022549712267274775,0.03702646179972114,53.03428562203163,15.345141477777876
1526716017.84,1.2826922377084462,0.16523276544945253,0.025116925603316596,0.040413807103808624,52.75336000581436,15.518326578968763
1526716017.89,1.207784515994152,0.16513674681429988,0.022322847028361282,0.031012879449118114,52.006253646927604,14.870583837858167
1526716017.94,1.2930928174785594,0.16306412419503696,0.021482616002223592,0.03231820951553404,50.9624271913992,13.67085966579342
1526716017.99,1.3743729050632296,0.16392255714541493,0.019039106873204592,0.031803070049905596,50.53848898531337,13.736238784979427
1526716018.04,1.8591823026583505,0.16663329244915034,0.01616040104267852,0.030430337495546127,51.280011490373795,13.232838058915014
1526716018.09,2.019559624324178,0.16700624838882516,0.013328193852079858,0.02525376076046622,51.1551471908778,13.505767913860884
1526716018.14,2.1626023431470633,0.16495356023091487,0.013588896545891543,0.025744648523018075,51.955592868213024,14.66431695802545
1526716018.19,2.38041341102235,0.16560213315297231,0.014732383276104172,0.02802379685232767,52.35229070813095,15.995282742124944
1526716018.24,2.542679118560382,0.16770332968897333,0.01366244635288608,0.02458080096966001,53.97196142847601,15.655006750435074
1526716018.29,2.699919183909766,0.17121285035343353,0.010069028567976049,0.018863136885962254,53.7625601203904,15.963865018194959
1526716018.34,2.8214893989467877,0.17330272375763528,0.015277820066847317,0.027481142464950703,54.38711080965607,16.790501388516454
1526716018.39,2.781246960341239,0.17391060703611072,0.015684576832209383,0.03007235337221095,53.89234803233065,17.008611877953626
1526716018.44,2.6833379383530263,0.17403952214013943,0.015058836885173234,0.026411358558999704,53.619481870079184,17.14696221603251
1526716018.49,2.5594137239137242,0.17038241264574283,0.01581746023545641,0.025849501089569713,52.91767703630623,17.283684748882486
1526716018.54,2.135176493131229,0.163585758957963,0.021100025858151857,0.02819109527901507,52.57411465215408,16.926525827834855
1526716018.59,1.8603361823749585,0.16062745575604248,0.017229325290800693,0.023065720601849606,53.250994862039555,15.87778018722633
1526716018.64,1.9759942269061104,0.16241066377822233,0.01892627322944839,0.02255519589387571,53.47500001524799,14.866919985018383
1526716018.69,1.942497900813887,0.16206454123359676,0.020859236020636846,0.025508128403901174,53.54581952099891,15.219326387944355
1526716018.74,2.1555346011979473,0.1679516729733551,0.019124840368193598,0.025202956771100474,53.31055692177941,14.811449196031758
1526716018.79,1.9401690910391205,0.17062155865132037,0.015830135022637096,0.0217271483004771,53.79405569012538,14.79833933312442
1526716018.84,2.0800828079628415,0.1720675603041015,0.015731327610233693,0.02162955067986018,52.92749264660392,15.20224417725858
1526716018.89,2.3271760075055554,0.17191619881221282,0.013416609513555017,0.019302887887245303,53.1439787926801,15.599690120490969
1526716018.94,2.3883226092009244,0.1714024561296248,0.012273587647975091,0.02192939310415038,53.34115638143191,15.7204398753219
1526716018.99,2.2549749720708805,0.166533205922526,0.01497699467289678,0.05002958858816249,54.347622436912836,16.591511361344992
1526716019.04,2.692730974041826,0.16659627013321102,0.017290157533534474,0.07350605219873367,54.75254586518071,16.875416069420368
1526716019.09,2.9123461764035987,0.17073135304976791,0.028646368509452055,0.08999303312547881,55.582073120196455,16.668476999003932
1526716019.14,2.693175471361969,0.16719396115988872,0.04596159659847904,0.10849110146952463,56.4749741224049,16.48551222100386
1526716019.19,2.641303910210341,0.16818524909002916,0.06991397634291993,0.12370410011835987,57.070788819964015,15.452658571536892
1526716019.24,2.6745515059697325,0.16912363424800583,0.09422520834402329,0.12489603177004166,57.726067539712886,14.979283327485907
1526716019.29,2.545427150955671,0.17303027564611786,0.12288339077341696,0.13593629084684106,57.735336574318644,14.823594148846603
1526716019.34,2.410847080640088,0.1718824315011185,0.15065918319104202,0.14744064345212368,56.37618515068544,14.982906679464183
1526716019.39,2.527058548409047,0.17727501877869525,0.1821835594787172,0.1395732951096561,55.515644858811065,15.442699532554462
1526716019.44,2.7039950976137024,0.17118919001744637,0.2137719608036723,0.1332960400692116,53.661095058076725,16.017457566659886
1526716019.49,2.5807558185651445,0.18060054014437282,0.2375216554170706,0.11816709986889343,52.255592578728034,16.886310324253483
1526716019.54,2.921657797051176,0.1764243814507007,0.24056991314674608,0.11934505207228495,53.25613259608411,17.790508593927967
1526716019.59,3.1051171221641423,0.18025277142497131,0.2343444590663563,0.12512140838262273,55.047001948443665,18.856689969134646
1526716019.64,2.739417602705962,0.18016704574167647,0.21687443279262558,0.13151135874797162,54.08711771421044,18.373763741971608
1526716019.69,2.812031097946171,0.19053792767768735,0.18401194380571825,0.13320693456988988,53.805262901149455,17.312632961330884
1526716019.74,3.2788674861658142,0.18818767462239866,0.16558429834112498,0.1458008267024119,52.66182042811525,16.612606190170712
1526716019.79,3.3841476713766205,0.18874718875626928,0.14565640703991595,0.11733269004510123,50.05848642465653,16.68420411544354
1526716019.84,3.5713055494232133,0.1874559002384631,0.12668452930465082,0.09967133736584007,49.589023378259796,16.33517142143813
1526716019.89,3.804553512119527,0.19165792617718938,0.10128026931447402,0.09599368636846042,49.41259870138383,17.466303962898305
1526716019.94,3.8174969827331666,0.1907559707275606,0.08264920402930208,0.0888683529933012,50.632051976555864,17.99908039981231
1526716019.99,3.514844028828458,0.1871148185847469,0.053275985938126165,0.06252853758892762,51.97177607766614,18.509921534632035
1526716020.04,3.0758642349879763,0.18389002405161967,0.039946142157918106,0.05961784595387135,53.44147013906987,18.41902064356635
1526716020.09,2.664282854789625,0.18010007970080152,0.029519936773910974,0.05295663292051403,53.57677007800551,18.556936294506567
1526716020.14,2.6137711847056107,0.1743057939929141,0.0261516513410906,0.04197149172024731,54.346164683778426,18.402308374359944
1526716020.19,2.407522710929774,0.17329074445245005,0.024101421066636722,0.03626771046915035,55.380403228841715,18.55315111253062
1526716020.24,2.185858996930087,0.1682261506235282,0.024795895154912987,0.035767016655700694,55.34708452257423,18.604186515893613
1526716020.29,2.190602560057788,0.1690164852341776,0.02438219437436554,0.04064060538318719,55.349726598227655,17.588619308614174
1526716020.34,1.9295950976274805,0.16402135793960942,0.021422437156138466,0.031181889892289743,54.65652392960985,17.15400038798302
1526716020.39,1.6535235691088612,0.16308300377517929,0.018915330501357002,0.029793720930587277,54.423260430592705,17.5876825088179
1526716020.44,1.3741863685004427,0.16028194271545482,0.016476119245822138,0.027833814683331442,53.63488991189913,17.709837673130554
1526716020.49,1.1970774351212414,0.16355556480138816,0.015300953839322682,0.029502302865965987,54.582673920472104,17.481372225587098
1526716020.54,1.1343293500947051,0.1640546696124639,0.017292676957058824,0.028845057638655847,54.636815974978425,17.847738501431504
1526716020.59,1.3339321986435309,0.16898245295516326,0.018027033076137032,0.03022155008555297,55.19253704430454,17.919653147162485
1526716020.64,1.3945413407426657,0.17016187836278984,0.019954332515494052,0.03205930558462307,54.810217460907445,16.952781671907676
1526716020.69,1.6661776656226968,0.16942013414105977,0.020885565580965288,0.035407849363184335,55.414030606854155,16.98537872826036
1526716020.74,1.8594344533120812,0.17091434411539827,0.018684924913108664,0.03866245721186071,54.11614949002505,16.682691213146327
1526716020.79,1.8228411683381736,0.1705136119365231,0.016414496428104865,0.034484593873567594,53.84834875336334,16.820062960066068
1526716020.84,1.6867145113425632,0.16965018490851907,0.01524948991991738,0.035808458674384085,54.01414883765661,17.227227377714907
1526716020.89,1.781996674503388,0.17168262084907476,0.011248297834458548,0.03060177368358087,55.25390666740654,17.669389657723798
1526716020.94,1.534868867673461,0.17269392410493387,0.00876740204359512,0.023962247381404574,54.784763580810505,17.689779772179858
