,"tactile_static_data.left.std.clip(ret/60.0, -5, 5)","tactile_static_data.right.std.clip(ret/60.0, -5, 5)",robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z,pose.position.x,pose.position.y,pose.position.z
1528856007.96,0.6025961377153239,0.24651557243643527,0.31835528987298795,0.12365926618541143,-0.09269999504089355,-0.2687000006437302,0.10959995269775391,0.004400000050663948,0.0010599999967962504,-0.001540000019595027,0.041262120217060196,0.025986455133495838,-0.0008898388250823378,-0.010038842639272755,0.010556143475582619,-0.019298176285648432,-0.00943924859199103,-0.008706388768502797,0.5283660389088496,-0.8172326766841065,0.18420578579086674
1528856008.06,0.5838425975113005,0.25550981119650645,0.3117066316878401,0.1303336425757109,-0.10109999656677245,-0.25969999969005586,0.1073999786376953,0.004299999997019768,0.0009400000143796207,-0.00232000001706183,0.049669692572432325,0.030070299048877834,0.003825737901000486,-0.003995301421418239,0.00856327385139777,-0.012671104212436607,-0.009561224556920569,-0.0005406788132146163,0.5285579737387592,-0.8171761870106219,0.18430176196510548
1528856008.16,0.535172108321719,0.2515304427607996,0.31196325028133265,0.12215900061610387,-0.06510000228881835,-0.2793000000715256,0.10559997558593749,0.00403999999165535,0.001200000001117587,-0.0019600000325590374,0.04263600616604889,0.026768078079770483,0.0013792056321461508,-0.002652739875941122,0.0054124267839036535,-0.006624825275012476,-0.00503552473805452,0.0029302319843084734,0.5285493706476259,-0.8170837151437214,0.18415434792497182
1528856008.26,0.5406998881446264,0.24043359010479867,0.3177942702828415,0.1230966792657038,-0.0859000015258789,-0.28170000016689306,0.10499996185302735,0.004179999977350235,0.001280000014230609,-0.0011800000164657834,0.03548286012968675,0.02276076368568534,0.0050590099406679,0.0014132431552125232,-0.0008686804305425095,0.005619692057065077,-0.007960095772114862,0.00527624157150665,0.5285676928053245,-0.8168196439256427,0.18399708758473085
1528856008.36,0.5433579211472745,0.24026020257531625,0.3067705472374219,0.11615823974609449,-0.053699998855590805,-0.27729999959468843,0.11079998016357422,0.003839999958872795,0.0013400000240653754,-0.00132000002078712,0.03711278280652238,0.0245148294830517,0.005162236096588078,0.003404701937898826,-0.0021595316597023714,0.009123835967036248,-0.006139968798432844,0.011053188089666165,0.5287116073198281,-0.8168300371075279,0.1840450009905871
1528856008.46,0.5468100736604816,0.23653509777993062,0.303528821945558,0.11936182946768975,-0.09770000457763671,-0.2546999986469746,0.09899997711181642,0.0038599999994039535,0.0016600000113248825,-0.0013800000213086607,0.04429371323961702,0.03155456922906331,0.0024583978327563536,0.006529005889400155,-0.010083933681317681,0.01744800482631456,0.004505895903982014,0.011677874076613503,0.5287979624051384,-0.816713111466767,0.1839661055197032
1528856008.56,0.5529564284533169,0.2536681736851107,0.312577224214122,0.11119092705046413,-0.1049000072479248,-0.2631000001728535,0.09339996337890626,0.003500000014901161,0.0020999999716877936,-0.0008200000040233136,0.03601453765237254,0.02809017549629019,-0.0031915401791265613,0.0008505465864817236,-0.008573387450889825,0.015058501397470374,0.003854966152248403,0.0009095068707929382,0.528858529742218,-0.8167790590464595,0.18406126435050058
1528856008.66,0.5893985434915469,0.24325236433713793,0.2869106968179899,0.12223593510129213,-0.1299000072479248,-0.22389999940991406,0.07419998168945313,0.0032799999788403512,0.0025999999791383745,-0.001399999987334013,0.03802920396792574,0.027882290702511088,-0.0033450299202959044,0.0009975200203274576,-0.009697275696973607,0.017457188852859983,0.0027847915684489203,-0.0025273509282067773,0.5289662180835962,-0.8168039219035151,0.184147564386158
1528856008.76,0.5781923039946316,0.2618181821653126,0.244551549595048,0.1271910577411965,-0.12470001220703125,-0.18049999788403515,0.053399963378906255,0.002899999991059303,0.0030799999833106993,-0.002340000029653311,0.0375857560204876,0.027858906166642786,-0.0044689145307501245,0.000913551098889113,-0.0037184341511401382,0.00950917743255349,0.004527278282143133,-0.003986134669736487,0.5288958193566871,-0.8169281586294962,0.18419719640783058
1528856008.86,0.570896615788067,0.27112210788867325,0.27820350007840966,0.1410033722081419,-0.12590001106262205,-0.21849999740719797,0.03679996490478516,0.003480000048875809,0.0025599999725818634,-0.001740000005811453,0.042033167052984224,0.030053301706429364,-0.0033982514948175187,0.0017748168810446233,-0.004904581913964052,0.01280871139111524,0.0032119045990511813,-0.010817549608986777,0.5288547446452223,-0.8167987063740881,0.18412928929346883
1528856008.96,0.5686608288247198,0.27365253483552243,0.23992206221749016,0.14950945315092565,-0.06950001716613768,-0.20389999687671664,0.0255999755859375,0.003400000035762787,0.003119999952614308,-0.001620000004768372,0.03167758156390975,0.023158384678245016,-0.0020779273152326215,0.0003891578231550746,-0.0009873502303819868,0.008071770269903931,-0.0024216079866132387,-0.011593600344446342,0.5286833997863881,-0.8170076950161002,0.18428405898831404
1528856009.06,0.56182601901896,0.2613540429730999,0.22820351988099732,0.15625197119122777,-0.07770001411437988,-0.18469999581575394,0.022799987792968754,0.003940000012516976,0.0030800000205636027,-0.0014000000245869163,0.038497380362133245,0.027424574588548658,1.1617399506639753e-06,0.006751312811636082,-0.003460175573501531,0.015017334145557039,0.0007400507919501503,-0.00571347134973278,0.5286178514787002,-0.8169845840028256,0.18425447842626713
1528856009.16,0.5696446674015031,0.27768213433277555,0.22090355667802858,0.14794145743106848,-0.06630001068115234,-0.18669999629259112,0.025799980163574224,0.004200000055134297,0.002760000042617321,-0.000800000037997961,0.03642073238724149,0.028886160668825697,0.0008794153755525525,0.0067159537818058095,-0.0029334269268360756,0.014434506679783802,0.001444817730320374,-0.009266115412896172,0.5285881266149871,-0.8169383645076764,0.1842601441691438
1528856009.26,0.5809611516483347,0.2534185843091028,0.23130321744229876,0.14361191379669122,-0.03970001220703123,-0.20289999753236773,0.03319999694824219,0.00448000006377697,0.002560000009834767,-0.0002400000020861626,0.040095402684622965,0.02973493941791898,0.0037902176052594786,0.009799770180684014,-0.003658310398644613,0.01642183923638307,0.00030285772532807686,-0.0017213178589698117,0.5287416583897682,-0.8169536401935708,0.18435743571336655
1528856009.36,0.6021003098286128,0.26563562014177844,0.19358621530789272,0.1404317054748256,-0.032300004959106426,-0.16329999953508378,0.041800003051757816,0.0043600000441074375,0.0031599999964237215,-0.0006800000183284283,0.04168000761977641,0.031303316267756766,0.003742742276180473,0.0053456646510891504,0.0016217612810392797,0.0036246973265295877,-0.0028647026390873514,-0.0011605952578632394,0.5288302570019863,-0.8169084264325016,0.1843684853200221
1528856009.46,0.5896809875796996,0.27111485485263953,0.23936079854721595,0.13995225584078008,-0.06210000038146971,-0.2057000008225441,0.053800010681152345,0.004739999994635582,0.0025000000372529035,-0.0002400000207126141,0.04700002154893072,0.036330107687675146,0.007704843251731449,0.00749588054912605,0.0036118350039262433,0.003923416777853579,-0.008990247036932002,0.008250303194036442,0.5289787042767727,-0.8168279788639204,0.1843784176304656
1528856009.56,0.5994236153277755,0.28423963298617894,0.23165579858820887,0.13799097389859877,-0.058100004196166975,-0.1995000007748604,0.04899997711181641,0.004580000042915345,0.0024799999967217447,-0.0004800000041723252,0.037646369820391046,0.029723825097980848,0.008222877140775419,0.003222333535412977,0.00632081454467962,-0.004481297258701831,-0.011972696351499841,0.007847922883946402,0.5290132171020442,-0.816812842532001,0.18435845818343874
1528856009.66,0.5981395321554754,0.26525749463925424,0.2389278247441028,0.1355754125994585,-0.049500007629394514,-0.21210000082850458,0.053400001525878905,0.004439999982714654,0.002239999994635582,-0.0007399999722838402,0.042365020205432126,0.030209694120806332,0.009472050350294884,0.005403648069343055,0.005975702664718283,-0.003254208789731308,-0.012620877830605084,0.01507530578861288,0.5290249364564195,-0.8167955201319534,0.18444163872866368
1528856009.76,0.589831462645592,0.28356625359035353,0.2590674537578476,0.13088165260871457,-0.05670000076293944,-0.23430000111460686,0.053800010681152345,0.0042999999970197685,0.0021000000089406966,-0.0004599999636411667,0.040928950316688875,0.03128182598681619,0.003904960816598159,0.003999506311890288,0.0003794518227101233,0.003516478027235603,-0.005971352747075431,0.013481036427186333,0.5289955586255382,-0.8166308131057508,0.1843344678600635
1528856009.86,0.5895892284097722,0.2732822299241368,0.2691253930208186,0.13149875791521662,-0.07750000953674314,-0.24430000111460684,0.035600013732910156,0.003900000005960464,0.0025800000131130218,0.0002000000514090061,0.04116095696423975,0.02647126252815124,0.005140241888763428,0.008829528210548216,-0.0002760621872176806,0.009314031756293691,-0.002757451153268083,0.019069332139632175,0.529042816421649,-0.8166816211526677,0.18446847119027732
1528856009.96,0.5812093551239353,0.27062919113677375,0.2627787014082797,0.1312698749805541,-0.04930001258850096,-0.24210000082850458,0.02979999542236328,0.004000000059604644,0.0025,-0.0003599999472498895,0.039530095014215824,0.022141523918720887,0.0037762518224453098,0.008956692356278315,-0.0005046259383383203,0.009099705202728755,0.0017103635928141718,0.015300694429657872,0.5290002406937585,-0.8165436048153819,0.18441027535619806
1528856010.06,0.5844422071891879,0.25185399837520905,0.30791535954434424,0.13343156706259715,-0.06550001144409179,-0.28590000107884406,0.03720001220703125,0.004060000032186508,0.0026600000262260435,0.00010000004433095452,0.03968952620551529,0.02460230215978792,0.002814931321001228,0.00726149763805689,-0.0005074346176407754,0.00570455921328997,0.0043002395720608665,0.013687670379310346,0.5290402266873103,-0.8164787242546491,0.1843906257006653
