,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0
1527169985.78,0.09559999942779535,0.1771000017225743,-0.10359992980957003,0.001860000006854534,0.006720000058412553,-0.0012200000137090683
1527169985.8,0.08620000362396234,0.2005000032484532,-0.11059997558593722,0.001520000007003546,0.006560000032186509,-0.0009400000050663949
1527169985.82,0.07900000095367425,0.22690000191330917,-0.11159996032714815,0.001480000037699938,0.006580000072717667,-0.0009600000083446504
1527169985.84,0.06940000057220452,0.2465000022947789,-0.11099998474121066,0.0015400000475347044,0.006520000100135803,-0.0009999999962747098
1527169985.86,0.08299999713897699,0.2633000053465367,-0.09839996337890597,0.0015000000409781933,0.006440000087022782,-0.0009999999962747098
1527169985.88,0.11559999942779534,0.27350000515580186,-0.08399993896484348,0.001440000031143427,0.006459999978542328,-0.0013199999742209913
1527169985.9,0.132999997138977,0.2593000043928624,-0.07639991760253878,0.001500000022351742,0.006700000017881393,-0.001519999969750643
1527169985.92,0.13199999332427972,0.23310000553727156,-0.07279991149902316,0.001500000022351742,0.00664000004529953,-0.0013199999695643785
1527169985.94,0.1398000001907348,0.21710000649094588,-0.0649998474121091,0.0014400000125169754,0.0066200000047683715,-0.0012999999849125745
1527169985.96,0.12339999675750726,0.20010000362992295,-0.057999877929687214,0.0013600000180304052,0.006639999970793725,-0.0014000000013038518
1527169985.98,0.08839999675750725,0.173700004965067,-0.051399841308593465,0.001440000031143427,0.006520000025629998,-0.0014200000045821073
1527169986.0,0.057599997520446714,0.16950000420212755,-0.04079986572265597,0.0015600000508129597,0.00640000008046627,-0.0014600000111386182
1527169986.02,0.03879999637603753,0.17930000439286242,-0.03499984741210909,0.0014200000278651716,0.006440000012516975,-0.00142000000923872
1527169986.04,0.0291999959945678,0.16230000153183943,-0.04159988403320284,0.0015000000037252905,0.006460000053048134,-0.0012000000011175873
1527169986.06,0.0532000017166137,0.16429999962449082,-0.03799987792968722,0.0015799999982118607,0.0065600000321865085,-0.0013799999933689835
1527169986.08,0.07539999485015862,0.1752999986708165,-0.02919990539550753,0.0012999999895691873,0.006520000100135803,-0.0009399999957531691
1527169986.1,0.07539999485015862,0.17109999790787705,-0.03699989318847628,0.0013199999928474428,0.00653999999165535,-0.0005799999926239253
1527169986.12,0.07700000286102289,0.16109999790787702,-0.04599990844726534,0.0013599999994039537,0.006280000060796737,-0.0008600000012665989
1527169986.14,0.08860000133514398,0.16810000076889997,-0.03939987182617159,0.0011800000071525575,0.006280000060796737,-0.001399999987334013
1527169986.16,0.0709999990463256,0.15969999924302108,-0.04739990234374972,0.001160000003874302,0.006200000122189522,-0.0010799999907612802
1527169986.18,0.05300000667572015,0.15989999905228622,-0.05859992980957003,0.001100000012665987,0.0061600000411272055,-0.0012400000169873239
1527169986.2,0.0722000074386596,0.17529999867081647,-0.0631999206542966,0.0010800000093877315,0.006200000122189522,-0.0015800000168383122
1527169986.22,0.08640000820159906,0.17969999924302107,-0.07019989013671847,0.0012199999950826168,0.006500000134110452,-0.0015400000102818014
1527169986.24,0.08300000667572015,0.1758999980986119,-0.08499992370605441,0.0013800000213086605,0.006600000038743019,-0.0011400000192224981
1527169986.26,0.09100000858306877,0.1635000003874303,-0.09419990539550753,0.0013800000213086607,0.00664000004529953,-0.0010400000168010594
1527169986.28,0.09440001010894769,0.1427000011503697,-0.10419990539550752,0.0015600000321865082,0.006760000139474869,-0.0008199999993667007
1527169986.3,0.0872000074386596,0.13230000153183943,-0.11219993591308566,0.0015800000354647635,0.006840000152587891,-0.0007200000016018748
1527169986.32,0.07019999980926507,0.10030000105500228,-0.11819999694824192,0.0017200000584125519,0.006880000084638596,-0.0001800000062212348
1527169986.34,0.08719999790191645,0.1059000004827977,-0.12199996948242159,0.0017600000277161597,0.006800000071525574,-0.00032000002916902307
1527169986.36,0.11139999866485589,0.1130999983847142,-0.12739997863769503,0.002000000029802322,0.007000000029802323,-0.0006000000424683094
1527169986.38,0.12799999713897697,0.10329999580979354,-0.13039993286132784,0.00203999999910593,0.007079999893903733,-0.00046000004047527907
1527169986.4,0.12620000362396236,0.08809999600052841,-0.13699989318847627,0.0021799999848008157,0.00685999982059002,-0.0003000000375322997
1527169986.42,0.14300000667572016,0.10289999619126328,-0.1379998779296872,0.002579999975860119,0.006439999863505364,-0.0005400000303052365
1527169986.44,0.14740001201629632,0.10489999428391464,-0.12419990539550754,0.003139999955892563,0.005539999902248382,-0.0004800000204704702
1527169986.46,0.13780001163482658,0.10109999790787703,-0.09459991455078097,0.0035399999469518666,0.004079999923706055,-0.0004800000204704702
1527169986.48,0.15920000553131097,0.11509999647736557,-0.09079994201660127,0.004179999977350236,0.003119999989867211,-0.0006800000136718155
