,"tactile_static_data.left.std.clip(ret/60.0, -5, 5)","tactile_static_data.right.std.clip(ret/60.0, -5, 5)",robotiq_force_sensor.wrench.force.norm.dividedby10,robotiq_force_sensor.wrench.torque.norm.dividedby0.4,wrench.force.x.ret/10.0,wrench.force.y.ret/10.0,wrench.force.z.ret/10.0,wrench.torque.x.ret/10.0,wrench.torque.y.ret/10.0,wrench.torque.z.ret/10.0,baxter_enpoint_pose.twist.linear.norm.dividedby0.4,baxter_enpoint_pose.twist.angular.norm,baxter_enpoint_pose.twist.linear.x,baxter_enpoint_pose.twist.linear.y,baxter_enpoint_pose.twist.linear.z,baxter_enpoint_pose.twist.angular.x,baxter_enpoint_pose.twist.angular.y,baxter_enpoint_pose.twist.angular.z,pose.position.x,pose.position.y,pose.position.z
1528856239.48,3.2448843228183155,3.1687038852444425,0.24130111177662866,0.1643760642476074,0.0603000020980835,0.18729999978095294,0.1256000137329103,0.005879999995231628,0.002460000067949295,0.0006600000243633987,0.04364638027289588,0.029493275908396985,0.0015104600157916487,-0.0030689801022204207,-0.000611707702683908,-0.0005168915753005879,-0.0028156463602868245,-0.010456535790075865,0.6394418401860054,-0.18326094239591437,-0.0721130964788656
1528856239.58,3.2441105536703327,3.1624015111452377,0.25906386005885207,0.15987456172279424,0.08690001010894775,0.19309999901801345,0.12299999237060562,0.005640000030398369,0.0027200000733137134,0.00026000000536441803,0.04598009357457071,0.025945804268149807,-0.0067529252329253,-0.001982211194685572,-0.0036638156754590654,-0.001446054245060928,0.008459656855420944,-0.005634559990876394,0.6392095639297045,-0.1834229091696057,-0.07222965270492412
1528856239.68,3.2308783663631484,3.1474266612414934,0.28042205011660293,0.15841077736456027,0.14049999713897707,0.1932999988272786,0.13079998016357436,0.0055600000172853475,0.0029000000655651096,-2.0000003278255463e-05,0.048679577518140095,0.026548938255643854,-0.005091576303995464,-0.004894148543420539,-0.0021138081648103065,-0.0022604430409342634,0.003530689934981197,-0.009026690557363864,0.6393833635040276,-0.18348600340468083,-0.07214594748223258
1528856239.78,3.2210884614600293,3.143109435444231,0.26802414814506176,0.17254627514758708,0.12269999980926515,0.14370000082999468,0.14919998168945328,0.0061000000685453425,0.0023800000594928865,0.0008799999952316285,0.07038835901017221,0.04049684499604905,-0.006005838451890678,-0.00951290237369055,0.007041669262168675,-0.007836370599536747,0.009352377483921507,-0.020486041107691994,0.639658582997452,-0.1835065992774301,-0.07129763998841229
1528856239.88,3.225320039413242,3.1491854300529765,0.30079557229919407,0.1781465149359122,0.13809999942779544,0.14469999987632035,0.18419998168945328,0.006500000059604645,0.0017400000290945172,0.0008799999952316285,0.11756434961802475,0.05644882818149326,-0.017800230600246776,-0.013109668887721363,0.024109176751540985,-0.012211913376741568,0.02905607554168951,-0.030188973169935816,0.6390915153626896,-0.18397452503887504,-0.06899859261681125
1528856239.98,3.227124485359307,3.1515267180336743,0.29346143207371744,0.1776699162097807,0.1290999937057495,0.13910000044852497,0.18319999694824235,0.006240000054240228,0.002080000010319054,0.0006999999936670065,0.1641730618259161,0.05593804106446339,-0.017134498639989504,-0.014239311065604929,0.052573086065926596,-0.009621068769407309,0.030188868900248942,-0.02575684792872794,0.638370707377514,-0.18488453896515183,-0.06439438580343512
1528856240.08,3.219880624311432,3.1554304078008433,0.28603265667273137,0.17725178951396645,0.11809998989105225,0.14090000111609696,0.18100002288818376,0.006000000089406967,0.00237999998498708,0.000580000001937151,0.20714100773091243,0.06703044974339836,-0.005702024641194031,-0.01831888525176353,0.07449634365390095,-0.009560290444891328,0.009566394899737646,-0.028698085385835233,0.6379331949558937,-0.18586726932723938,-0.05775008229134624
1528856240.18,3.227335708318218,3.1639404499004935,0.2666651759932437,0.18430641165510234,0.08209999561309814,0.12950000006705523,0.18720005035400406,0.006160000115633011,0.0026399999903514984,7.99999944865704e-05,0.2598020004878373,0.08415152451416043,-0.0006622875190419575,-0.022760166063269888,0.09535577311352238,-0.017025261018452746,-0.005302900709870374,-0.03729122473647315,0.6378309813920977,-0.1874512807753415,-0.04913739694115266
1528856240.28,3.257465025868208,3.161770451190916,0.24079805434598767,0.18718004983371972,0.09249999523162841,0.13929999995976686,0.14660007476806655,0.006100000143051148,0.0037200000137090684,-0.0006200000084936618,0.26724835724829454,0.07813625709561244,0.004341116636697202,-0.01735748713315421,0.10023636055445294,-0.018030552815594347,-0.01933035886544691,-0.01844587739242828,0.6379651169347829,-0.189134330490829,-0.03968126264197144
1528856240.38,3.255976655981301,3.164335384682058,0.24889011531532396,0.1841030384740992,0.0812999963760376,0.14650000024586915,0.1560000610351564,0.005800000131130219,0.0031599999964237215,-0.0010999999940395355,0.2634139352901653,0.0827439588579204,0.00688583634911358,-0.0005122925394648859,0.09532062147416787,-0.004007758949849234,-0.01400312304326444,-0.015261074247206354,0.6385868919555813,-0.1892753677189225,-0.03027579763967291
1528856240.48,3.243802442317959,3.1388571618054786,0.22566730067974122,0.20015990004146267,0.07230000019073486,0.12429999995976686,0.14920005798339858,0.006140000075101853,0.0037200000137090684,-0.0011999999731779098,0.2573436602706381,0.10296926730047658,0.0056346134554935085,0.023580789938425436,0.07887338814835562,0.016160502715949092,-0.00731327048040198,-0.025017728774476423,0.6389552113486777,-0.18762445584072823,-0.02208146105040092
1528856240.58,3.245609207731334,3.130763122145021,0.2054281442778797,0.1951084607262368,0.04869999408721924,0.10609999943524598,0.15240005493164077,0.006260000020265579,0.003020000029355287,-0.0008199999853968621,0.2453036985538231,0.10679248364369061,0.0014379525428799779,0.03737438931848642,0.07189190250048645,0.010313547437730887,0.010431446045154391,-0.0021615930572841035,0.639068246661127,-0.18472687344970692,-0.014738066414934789
1528856240.68,3.2342135507617136,3.125495400353656,0.18679586039426416,0.19686267472695937,0.03269999980926514,0.10329999972134828,0.12940002441406265,0.006319999992847443,0.0029200000502169134,-0.0011399999633431436,0.2213779905549359,0.10783727640473979,-0.004012288557755213,0.049456244314809654,0.06240804406110399,0.009291104268347426,0.0253370512297869,0.026187663845260035,0.6389065519289504,-0.1804792749758531,-0.00833324346376782
