,tactile_static_data.max,tactile_dynamic_data.absmax,robotiq_force_sensor.wrench.force.norm,robotiq_force_sensor.wrench.torque.norm,baxter_enpoint_pose.twist.linear.norm,baxter_enpoint_pose.twist.angular.norm
1524646265.29,10841.0,3039.0,1.89448988464,0.10139526465,0.00951206302519,0.0183885498057
1524646265.39,10991.0,191.0,1.88114117632,0.0680073562395,0.00407153947217,0.0148418131712
1524646265.49,11007.0,199.0,2.18582112432,0.0453982393844,0.0181016888117,0.0196283180204
1524646265.59,11077.0,1742.0,2.52635173961,0.0486312674679,0.0326593812856,0.0596801104288
1524646265.69,10982.0,318.0,2.05269395227,0.0695772946923,0.0129396791071,0.0358165869671
1524646265.79,10960.0,961.0,2.24627997924,0.103793061378,0.0154817738077,0.00903556893973
1524646265.89,10984.0,1204.0,1.47157543011,0.0442944681123,0.0264923141845,0.0249277713539
1524646265.99,10994.0,228.0,2.62144516489,0.0653758354495,0.00721204991782,0.0158778221334
1524646266.09,11044.0,284.0,2.87431889579,0.0708801800115,0.00655349245241,0.0344742676005
1524646266.19,11115.0,412.0,1.20927008408,0.0523545606539,0.0302114518512,0.0393626037245
1524646266.29,11130.0,121.0,2.46575201588,0.0869597634643,0.0227722453478,0.0382086167726
1524646266.39,11054.0,211.0,1.54942968024,0.056789083353,0.0205708604019,0.0347112601465
1524646266.49,11063.0,104.0,2.69910284486,0.115853353673,0.0045290429427,0.0130822127345
1524646266.59,11090.0,208.0,1.77911027226,0.0584037686177,0.0125843034264,0.0117242567095
1524646266.69,11129.0,369.0,2.14889118354,0.066700826049,0.021709377222,0.0241644919477
1524646266.79,11125.0,310.0,1.92087302169,0.069692181737,0.0162460812601,0.0258771803241
1524646266.89,11164.0,623.0,1.52279756056,0.0685930019351,0.0436428164933,0.0504167583755
1524646266.99,11115.0,148.0,1.75256719731,0.0871665075136,0.051925118609,0.120175311733
1524646267.09,10937.0,3477.0,1.95548857844,0.0580861427066,0.0600271825176,0.0819670413073
1524646267.19,10348.0,51.0,1.85504487954,0.0578273301543,0.0971655197895,0.0898278429514
1524646267.29,10215.0,1740.0,1.18500405588,0.0467332849927,0.0692795616423,0.165979263405
1524646267.39,10234.0,62.0,1.32782236551,0.0759670991673,0.0637160208414,0.110517583978
1524646267.49,10255.0,566.0,2.92057103908,0.0549363262905,0.0101839797552,0.0748401013314
1524646267.59,10204.0,257.0,2.5475858132,0.119507320452,0.0375210945296,0.0665375263216
1524646267.69,10213.0,330.0,2.12311890084,0.0975141026864,0.0360563172476,0.066978310786
1524646267.79,10219.0,170.0,0.959726705804,0.042485290875,0.0129169750062,0.0166038069802
1524646267.89,10269.0,170.0,1.61339835715,0.0679485105269,0.0119999941477,0.0200758445721
1524646267.99,10208.0,251.0,1.64620551806,0.0470319024674,0.0134412270357,0.0293919460235
1524646268.09,10181.0,438.0,1.35537257139,0.0602992531388,0.0107263455702,0.0199003487226
1524646268.19,10215.0,160.0,2.39362812011,0.0878976674002,0.0066443531638,0.0165017463783
1524646268.29,10205.0,193.0,1.55282762911,0.0922496648982,0.00696380743815,0.0335993032717
1524646268.39,10184.0,326.0,1.44028245687,0.0492544401662,0.0135205179959,0.017655845399
1524646268.49,10178.0,56.0,1.18518105637,0.0643195161125,0.00910288023045,0.0176321652537
1524646268.59,10258.0,738.0,1.03833191482,0.0729931517126,0.0200738232141,0.0304365147288
1524646268.69,10192.0,321.0,2.28734600516,0.0713722628357,0.00558471327174,0.0128882765573
1524646268.79,10159.0,180.0,0.85560141066,0.0751332148704,0.00989394308773,0.0127314148409
1524646268.89,10179.0,346.0,1.91175137349,0.0648459699412,0.0150726427349,0.0168643543443
1524646268.99,10259.0,213.0,1.09122532129,0.0649692234386,0.00704981960994,0.0108590971895
1524646269.09,10162.0,957.0,1.62226179273,0.0753126805182,0.00964124487199,0.0237575283514
1524646269.19,10204.0,1775.0,1.4069026992,0.0549636238889,0.0111395030608,0.0355888005712
1524646269.29,10208.0,275.0,1.92739568751,0.0594474556339,0.00966826626994,0.0218637375583
1524646269.39,10227.0,222.0,1.83842157779,0.0677273945783,0.0117297303581,0.0236421101013
1524646269.49,10210.0,165.0,1.18730572714,0.0857029745175,0.0153299763131,0.034918558496
1524646269.59,10294.0,310.0,2.63123802861,0.0819451048011,0.0118316374461,0.022244050356
1524646269.69,10380.0,323.0,1.09409061363,0.0700357047711,0.0264387014362,0.0419463307555
1524646269.79,10347.0,175.0,0.297613907695,0.0722841614431,0.0235177236567,0.035154011914
1524646269.89,10249.0,601.0,1.65822612435,0.0640234353691,0.0120014594735,0.0305014797254
1524646269.99,10298.0,522.0,0.955653386877,0.0661891218908,0.00187512732258,0.00972598244522
1524646270.09,10488.0,339.0,1.54090030925,0.0823164621535,0.00930652950384,0.0341924844939
1524646270.19,10496.0,470.0,1.51496959483,0.0652226942167,0.00720701745344,0.0202690056928
1524646270.29,10601.0,321.0,1.62943370713,0.0744177402781,0.026141661641,0.0309404672003
1524646270.39,10587.0,207.0,1.72659027781,0.0684835751822,0.0189349222903,0.0322460281538
1524646270.49,10282.0,1113.0,1.66682727101,0.0603406986071,0.00947079111347,0.01331169943
