,baxter_enpoint_pose.pose.position.x,baxter_enpoint_pose.pose.position.y,baxter_enpoint_pose.pose.position.z,baxter_enpoint_pose.pose.orientation.x,baxter_enpoint_pose.pose.orientation.y,baxter_enpoint_pose.pose.orientation.z,baxter_enpoint_pose.pose.orientation.w
1529055670.87,0.541129417406996,-0.33726571450044285,0.05700879916200896,0.9849895763035691,-0.17134025554576104,0.02003484005970055,-0.00599886055684528
1529055670.92,0.5415230517234068,-0.3373608830469178,0.057177971358331,0.9849775540037595,-0.17137276547406877,0.02034383166055346,-0.006007608190004582
1529055670.97,0.541732285113418,-0.33741811986991477,0.05726936454499946,0.9849878087981131,-0.17129949395664074,0.02047541964148901,-0.005988726692394371
1529055671.02,0.5417686568488735,-0.33751639659399424,0.057294181172504566,0.984962662144627,-0.17143678112247743,0.020537209796073135,-0.005993429529813236
1529055671.07,0.5414135936065771,-0.3374072643794117,0.05716627740034676,0.9849757905817552,-0.17139807492011386,0.02022379086511604,-0.0060060641009931645
1529055671.12,0.5414654787973087,-0.33758159525501763,0.05720066846662025,0.9849528856937189,-0.1715274627871998,0.020257557852350967,-0.005956568078762304
1529055671.17,0.541415203149424,-0.3375720005227261,0.057174326863040636,0.9849675630536943,-0.17144851005599726,0.020217384743792022,-0.00594558742916237
1529055671.22,0.5414571385470023,-0.3376602269983952,0.057199351018518425,0.9849402786909591,-0.17159793249471286,0.020283742984938603,-0.005924863223559498
1529055671.27,0.5413177786757944,-0.33770059301624245,0.057120403222809264,0.9849234584171811,-0.17171012563464264,0.020142955409915404,-0.005953381795474402
1529055671.32,0.5415629943357728,-0.3378441914829704,0.05724295581985945,0.9848973636236729,-0.1718339726639604,0.020364566323197244,-0.005952609459841328
1529055671.37,0.5415951642142628,-0.33787029283445136,0.05724875770672532,0.9848943189161466,-0.17184654653388193,0.02040993908043763,-0.005937910896678808
1529055671.42,0.5415154834934812,-0.33792371621078465,0.05724260790597746,0.9848650392640366,-0.172023360678573,0.0203293299232409,-0.005951625117750917
1529055671.47,0.5415475802392871,-0.33785310009162384,0.05726617307257452,0.9848972715989074,-0.17183797967731565,0.020332509451453148,-0.005953027308591195
1529055671.52,0.5416200992184481,-0.3378622259268971,0.057308114690431365,0.9848956234194405,-0.17184340100792048,0.020368102334404278,-0.00594938195491224
1529055671.57,0.5415724943997003,-0.33776196959152693,0.057274495254955204,0.9848946252593915,-0.17185708516503312,0.02028303723055375,-0.006010980378125574
1529055671.62,0.5415133318658625,-0.337712732655846,0.057272376240247,0.9848919133938947,-0.17187873259413572,0.020233030382515966,-0.006005990827367104
1529055671.67,0.5414496864245858,-0.3377226561646129,0.05723765864153548,0.9849158632042418,-0.17174293658139597,0.020241622955638434,-0.005939272919810869
1529055671.72,0.5414729509584468,-0.3376480849352827,0.05722489207047857,0.9849217761307285,-0.17170310012139312,0.02028366076178302,-0.005961574889545257
1529055671.77,0.5413947488042752,-0.337616891120685,0.057204914409313266,0.9849305049142252,-0.17165885544555068,0.020241499260011765,-0.0059360290461453556
1529055671.82,0.5414845309083444,-0.3375778292163423,0.05726465226161829,0.9849635280958656,-0.1714602753414539,0.020331497764331234,-0.005883934697328054
1529055671.87,0.5416124670861674,-0.33740311939709194,0.05732347127734771,0.9849975214247725,-0.1712503277156705,0.02043574495352545,-0.005943708597169606
1529055671.92,0.5416242411158299,-0.337343494305918,0.05731719225380832,0.985015167600743,-0.1711527466231498,0.020406826524745708,-0.0059323658895787884
1529055671.97,0.5415471532325631,-0.3373699374689646,0.05725446772258005,0.9850152384070325,-0.17116519875358835,0.020301272526313113,-0.005922069716081577
1529055672.02,0.5417762540152489,-0.3373557608522657,0.057376377952939914,0.9850135937843469,-0.17115193376230053,0.02047715927356998,-0.00597530578109895
1529055672.07,0.5418669264515619,-0.3373724910586946,0.057369179523344895,0.984991560243264,-0.17127181452145393,0.020519874489277876,-0.006022108067092822
1529055672.12,0.5416089757766255,-0.3375546141189935,0.05725100975822615,0.9849560217000807,-0.1714954832135291,0.02037098250866691,-0.005972956846610288
1529055672.17,0.5417273959962969,-0.3376063643381934,0.057329577208163084,0.9849222131983748,-0.17167331847084338,0.020506320677225996,-0.005973158318521369
1529055672.22,0.5415712944335289,-0.3376237783874639,0.057316434417867185,0.9849038150125637,-0.171786596338828,0.020445957122186734,-0.005958311587542089
1529055672.27,0.5412354830765028,-0.3375228046691711,0.05710113665914445,0.9849057512063579,-0.1718051178727456,0.020186751917436845,-0.00598003714462018
1529055672.32,0.5408892065716902,-0.3374927960465839,0.056953246145471814,0.9849080449583737,-0.17182487709484703,0.019918330177464142,-0.005942859921521925
1529055672.37,0.5410390303898724,-0.33747591964732376,0.05704242464111199,0.9849175788960388,-0.17176111175358194,0.01999486158218203,-0.005945777915255813
1529055672.42,0.5409482861209938,-0.3374337783851282,0.056963822115759795,0.9849462386625546,-0.17160836220133957,0.0198897443788552,-0.005973718424707305
1529055672.47,0.5410851564255253,-0.3374569351714155,0.05701045365866092,0.9849537364849967,-0.17155482306034886,0.01997779940924612,-0.005980961705626434
1529055672.52,0.5412895048941005,-0.3374771105348686,0.0571301647839702,0.9849731097254905,-0.17142696844919983,0.02013152154399853,-0.005944888521385386
1529055672.57,0.5414560388393154,-0.33760151074511047,0.05723173347905553,0.9849796498351172,-0.17137223379129324,0.0202885012961759,-0.005913780022176523
1529055672.62,0.5414942762799414,-0.3376251788432804,0.05719710735407667,0.9849764078567291,-0.17139211010604813,0.020267885294220748,-0.005947016429417332
1529055672.67,0.5416052983223313,-0.33761028221585093,0.05725120796463352,0.9849737695130085,-0.17139433604400914,0.020377106048188102,-0.0059421705857733405
